Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
referee,DTJBJD8M,576,0,4,0,1.4,1.3,1,5,0
referee,0UICEJXK,5184,0,4,0,1.4,1.3,1,5,0
referee,QWSJAH8S,14016,0,4,0,1.4,1.3,1,5,0
referee,G2J964D8,20000,0,4,0,1.4,1.3,1,5,0
referee,B4ZQ9POV,576,0,4,0,1.4,1.3,1,5,10
referee,04HD3CBN,5184,0,4,0,1.4,1.3,1,5,10
referee,CV1TTM7C,14016,0,4,0,1.4,1.3,1,5,10
referee,QV0GS1TV,20000,0,4,0,1.4,1.3,1,5,10
referee,3HMEQVBP,576,0,4,0,1.4,1.3,1,5,40
referee,YEAM61QI,5184,0,4,0,1.4,1.3,1,5,40
referee,YDQA26WZ,14016,0,4,0,1.4,1.3,1,5,40
referee,VN2J9O8T,20000,0,4,0,1.4,1.3,1,5,40
referee,MSCM6P0T,576,0,4,0,1.4,1.3,1,5,250
referee,GJVUNKRD,5184,0,4,0,1.4,1.3,1,5,250
referee,7EV5B4PJ,14016,0,4,0,1.4,1.3,1,5,250
referee,GOORJ507,20000,0,4,0,1.4,1.3,1,5,250
referee,HSO0BKGN,576,12,4,0,1.4,1.3,1,5,0
referee,3NCWHC8L,5184,12,4,0,1.4,1.3,1,5,0
referee,XO62EV64,14016,12,4,0,1.4,1.3,1,5,0
referee,S7DBPFBU,20000,12,4,0,1.4,1.3,1,5,0
referee,SXLM6M4T,576,12,4,0,1.4,1.3,1,5,10
referee,E9Q821ZN,5184,12,4,0,1.4,1.3,1,5,10
referee,KEYBWKI7,14016,12,4,0,1.4,1.3,1,5,10
referee,HYXPRG2B,20000,12,4,0,1.4,1.3,1,5,10
referee,75RXZCWY,576,12,4,0,1.4,1.3,1,5,40
referee,6YDGDGCP,5184,12,4,0,1.4,1.3,1,5,40
referee,S918UIF0,14016,12,4,0,1.4,1.3,1,5,40
referee,G57MHWOU,20000,12,4,0,1.4,1.3,1,5,40
referee,7R4QVERD,576,12,4,0,1.4,1.3,1,5,250
referee,QAO4OEST,5184,12,4,0,1.4,1.3,1,5,250
referee,J5AACQU0,14016,12,4,0,1.4,1.3,1,5,250
referee,OIZQ35Z7,20000,12,4,0,1.4,1.3,1,5,250
referee,0KHC6CP1,576,37,4,0,1.4,1.3,1,5,0
referee,QK3EZ3AM,5184,37,4,0,1.4,1.3,1,5,0
referee,VF123WAQ,14016,37,4,0,1.4,1.3,1,5,0
referee,A93VSKOQ,20000,37,4,0,1.4,1.3,1,5,0
referee,PTCWNCUL,576,37,4,0,1.4,1.3,1,5,10
referee,TAJE6LB8,5184,37,4,0,1.4,1.3,1,5,10
referee,8XL4T6NI,14016,37,4,0,1.4,1.3,1,5,10
referee,RB9GNTCI,20000,37,4,0,1.4,1.3,1,5,10
referee,IF7KYHQA,576,37,4,0,1.4,1.3,1,5,40
referee,JWXQYXW2,5184,37,4,0,1.4,1.3,1,5,40
referee,O9DJOAAM,14016,37,4,0,1.4,1.3,1,5,40
referee,48LL6RO2,20000,37,4,0,1.4,1.3,1,5,40
referee,T7N7WKI6,576,37,4,0,1.4,1.3,1,5,250
referee,5VG33DE7,5184,37,4,0,1.4,1.3,1,5,250
referee,P3S2Q6IW,14016,37,4,0,1.4,1.3,1,5,250
referee,OKZGGR8Q,20000,37,4,0,1.4,1.3,1,5,250
referee,D1YPWOW2,576,50,4,0,1.4,1.3,1,5,0
