Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,VB5JR4B3,576,0,4,0,1.4,1.3,3,5,40,0
referee,S615P7IC,3848,0,4,0,1.4,1.3,3,5,40,0
referee,RPZ0S199,6936,0,4,0,1.4,1.3,3,5,40,0
referee,KL2QGV0Y,10024,0,4,0,1.4,1.3,3,5,40,0
referee,E4LIJPG8,13112,0,4,0,1.4,1.3,3,5,40,0
referee,P9WZJIO0,16200,0,4,0,1.4,1.3,3,5,40,0
referee,QUCTF9X1,20000,0,4,0,1.4,1.3,3,5,40,0
referee,8O1QZ298,576,8,4,0,1.4,1.3,3,5,40,0
referee,D8033GZB,3848,8,4,0,1.4,1.3,3,5,40,0
referee,ARCMNBP0,6936,8,4,0,1.4,1.3,3,5,40,0
referee,ZJ0C5CGZ,10024,8,4,0,1.4,1.3,3,5,40,0
referee,0VHHIU0B,13112,8,4,0,1.4,1.3,3,5,40,0
referee,5HMHIPKR,16200,8,4,0,1.4,1.3,3,5,40,0
referee,PSODV6WA,20000,8,4,0,1.4,1.3,3,5,40,0
referee,9A13V3M0,576,17,4,0,1.4,1.3,3,5,40,0
referee,UQEW9JZM,3848,17,4,0,1.4,1.3,3,5,40,0
referee,4JUHMIWW,6936,17,4,0,1.4,1.3,3,5,40,0
referee,I92ANO06,10024,17,4,0,1.4,1.3,3,5,40,0
referee,6272WA8W,13112,17,4,0,1.4,1.3,3,5,40,0
referee,619EZKYD,16200,17,4,0,1.4,1.3,3,5,40,0
referee,0TELWOMN,20000,17,4,0,1.4,1.3,3,5,40,0
referee,KDI963JE,576,25,4,0,1.4,1.3,3,5,40,0
referee,3LIUO7ME,3848,25,4,0,1.4,1.3,3,5,40,0
referee,G50YINTL,6936,25,4,0,1.4,1.3,3,5,40,0
referee,1DUIE2D4,10024,25,4,0,1.4,1.3,3,5,40,0
referee,SA1QGTM4,13112,25,4,0,1.4,1.3,3,5,40,0
referee,0CSQNQ9U,16200,25,4,0,1.4,1.3,3,5,40,0
referee,5ZC6ZZ2H,20000,25,4,0,1.4,1.3,3,5,40,0
referee,KJ7HXWYK,576,33,4,0,1.4,1.3,3,5,40,0
referee,IWMQ8EBT,3848,33,4,0,1.4,1.3,3,5,40,0
referee,Z11NQO00,6936,33,4,0,1.4,1.3,3,5,40,0
referee,IZ8JUXIR,10024,33,4,0,1.4,1.3,3,5,40,0
referee,P5WMZV7U,13112,33,4,0,1.4,1.3,3,5,40,0
referee,QKUNZPLL,16200,33,4,0,1.4,1.3,3,5,40,0
referee,GUVZ3UIA,20000,33,4,0,1.4,1.3,3,5,40,0
referee,7TDIK0PA,576,42,4,0,1.4,1.3,3,5,40,0
referee,CWCHQI68,3848,42,4,0,1.4,1.3,3,5,40,0
referee,IGZDEDXB,6936,42,4,0,1.4,1.3,3,5,40,0
referee,6VBR7MVE,10024,42,4,0,1.4,1.3,3,5,40,0
referee,4HQO9B2K,13112,42,4,0,1.4,1.3,3,5,40,0
referee,3A6X2KNZ,16200,42,4,0,1.4,1.3,3,5,40,0
referee,RP4BV5DL,20000,42,4,0,1.4,1.3,3,5,40,0
referee,HMNYJC3J,576,50,4,0,1.4,1.3,3,5,40,0
referee,Q2T6SCG0,3848,50,4,0,1.4,1.3,3,5,40,0
referee,G7Z8J44W,6936,50,4,0,1.4,1.3,3,5,40,0
referee,NXY3FKVY,10024,50,4,0,1.4,1.3,3,5,40,0
referee,ZDMQQHPD,13112,50,4,0,1.4,1.3,3,5,40,0
referee,AUOYQQ8U,16200,50,4,0,1.4,1.3,3,5,40,0
