Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,8ZGPM8KI,576,21,4,0,1.4,1.3,1,5,0
ant,6UFS7DSU,576,21,4,0,1.4,1.3,1,5,62
ant,57SPN6M4,576,21,4,0,1.4,1.3,1,5,125
ant,RGZK7716,576,21,4,0,1.4,1.3,1,5,187
ant,G22WWX21,576,21,4,0,1.4,1.3,1,5,250
ant,G2ARMPHY,576,21,4,0,1.4,1.3,4,5,0
ant,Y5QPUFHQ,576,21,4,0,1.4,1.3,4,5,62
ant,1RRDWACE,576,21,4,0,1.4,1.3,4,5,125
ant,NDXF0ZBQ,576,21,4,0,1.4,1.3,4,5,187
ant,GRQUKKWI,576,21,4,0,1.4,1.3,4,5,250
ant,JLDOZVFV,576,21,4,0,1.4,1.3,8,5,0
ant,DQO4AV1O,576,21,4,0,1.4,1.3,8,5,62
ant,Z4Q43ZOB,576,21,4,0,1.4,1.3,8,5,125
ant,VABFM70O,576,21,4,0,1.4,1.3,8,5,187
ant,JZU5FK2N,576,21,4,0,1.4,1.3,8,5,250
ant,2ZJRLER9,576,21,4,0,1.4,1.3,12,5,0
ant,91EEVJU9,576,21,4,0,1.4,1.3,12,5,62
ant,A7XXW89Y,576,21,4,0,1.4,1.3,12,5,125
ant,UVZKXR4P,576,21,4,0,1.4,1.3,12,5,187
ant,TQTAYDCQ,576,21,4,0,1.4,1.3,12,5,250
ant,DSIDCW3D,576,21,4,0,1.4,1.3,16,5,0
ant,QWY9RFIX,576,21,4,0,1.4,1.3,16,5,62
ant,GYB4CGIZ,576,21,4,0,1.4,1.3,16,5,125
ant,2S2AZI5N,576,21,4,0,1.4,1.3,16,5,187
ant,Q8V3QNOX,576,21,4,0,1.4,1.3,16,5,250
ant,K0FN3B6T,576,21,4,4,1.4,1.3,1,5,0
ant,CF6CKCDF,576,21,4,4,1.4,1.3,1,5,62
ant,CF23X18S,576,21,4,4,1.4,1.3,1,5,125
ant,MZW3XPGS,576,21,4,4,1.4,1.3,1,5,187
ant,GISO5VDW,576,21,4,4,1.4,1.3,1,5,250
ant,W5BN50WJ,576,21,4,4,1.4,1.3,4,5,0
ant,FATQ3IUR,576,21,4,4,1.4,1.3,4,5,62
ant,V846T96U,576,21,4,4,1.4,1.3,4,5,125
ant,YNE0F7C7,576,21,4,4,1.4,1.3,4,5,187
ant,UARXUQNK,576,21,4,4,1.4,1.3,4,5,250
ant,WZSREGF5,576,21,4,4,1.4,1.3,8,5,0
ant,AC6CABKW,576,21,4,4,1.4,1.3,8,5,62
ant,2XTJUFUM,576,21,4,4,1.4,1.3,8,5,125
ant,S8G4DOZ1,576,21,4,4,1.4,1.3,8,5,187
ant,X6KJRTU2,576,21,4,4,1.4,1.3,8,5,250
ant,FDS1HFFO,576,21,4,4,1.4,1.3,12,5,0
ant,64ZB8WFS,576,21,4,4,1.4,1.3,12,5,62
ant,15FK63AK,576,21,4,4,1.4,1.3,12,5,125
ant,P7WHV6NK,576,21,4,4,1.4,1.3,12,5,187
ant,ZOHQWGBH,576,21,4,4,1.4,1.3,12,5,250
ant,16JV3U8Q,576,21,4,4,1.4,1.3,16,5,0
ant,ZV1SV4BJ,576,21,4,4,1.4,1.3,16,5,62
ant,9JTTEGCO,576,21,4,4,1.4,1.3,16,5,125
ant,4LBJBCVX,576,21,4,4,1.4,1.3,16,5,187
ant,P11MLTU4,576,21,4,4,1.4,1.3,16,5,250
ant,MBJE9VO7,576,21,4,8,1.4,1.3,1,5,0
ant,2PIF8U1J,576,21,4,8,1.4,1.3,1,5,62
ant,C0PXOG1C,576,21,4,8,1.4,1.3,1,5,125
ant,LZ0RGEPZ,576,21,4,8,1.4,1.3,1,5,187
ant,D4MMDRUE,576,21,4,8,1.4,1.3,1,5,250
ant,F9M3F87T,576,21,4,8,1.4,1.3,4,5,0
ant,0KJZ0LMI,576,21,4,8,1.4,1.3,4,5,62
ant,1VD4XQX3,576,21,4,8,1.4,1.3,4,5,125
ant,Z1K9FX4U,576,21,4,8,1.4,1.3,4,5,187
ant,XQUUYRCQ,576,21,4,8,1.4,1.3,4,5,250
ant,GTPVNT29,576,21,4,8,1.4,1.3,8,5,0
ant,1X0B1NBR,576,21,4,8,1.4,1.3,8,5,62
ant,EWQCJSIL,576,21,4,8,1.4,1.3,8,5,125
ant,4GJ4TSUO,576,21,4,8,1.4,1.3,8,5,187
ant,V0L39TUC,576,21,4,8,1.4,1.3,8,5,250
ant,U6BSOUZW,576,21,4,8,1.4,1.3,12,5,0
ant,1BVOBJQ0,576,21,4,8,1.4,1.3,12,5,62
ant,UI262WNF,576,21,4,8,1.4,1.3,12,5,125
ant,P947MJ68,576,21,4,8,1.4,1.3,12,5,187
ant,CDX9WCOI,576,21,4,8,1.4,1.3,12,5,250
ant,SH72ZCJ4,576,21,4,8,1.4,1.3,16,5,0
ant,FB0JUFVL,576,21,4,8,1.4,1.3,16,5,62
ant,PAR8BMHN,576,21,4,8,1.4,1.3,16,5,125
ant,GTV6YEFB,576,21,4,8,1.4,1.3,16,5,187
ant,4ODG6ABL,576,21,4,8,1.4,1.3,16,5,250
ant,WYM47D38,576,21,4,12,1.4,1.3,1,5,0
ant,22KBXPJE,576,21,4,12,1.4,1.3,1,5,62
ant,752FWGDB,576,21,4,12,1.4,1.3,1,5,125
ant,RM33HLY0,576,21,4,12,1.4,1.3,1,5,187
ant,SMMSQMN9,576,21,4,12,1.4,1.3,1,5,250
ant,Y5V5T111,576,21,4,12,1.4,1.3,4,5,0
ant,B6A1NVO6,576,21,4,12,1.4,1.3,4,5,62
ant,T4G8XGK5,576,21,4,12,1.4,1.3,4,5,125
ant,DSCNQ6SG,576,21,4,12,1.4,1.3,4,5,187
ant,9PHNXEQT,576,21,4,12,1.4,1.3,4,5,250
ant,PJ91LPUU,576,21,4,12,1.4,1.3,8,5,0
ant,MZX5XZMC,576,21,4,12,1.4,1.3,8,5,62
ant,NYY3DTEE,576,21,4,12,1.4,1.3,8,5,125
ant,LAZLTHYU,576,21,4,12,1.4,1.3,8,5,187
ant,GS8QOVCK,576,21,4,12,1.4,1.3,8,5,250
ant,XH8N2GB9,576,21,4,12,1.4,1.3,12,5,0
ant,B7JCL7OE,576,21,4,12,1.4,1.3,12,5,62
ant,A9IPF2H0,576,21,4,12,1.4,1.3,12,5,125
ant,FG0U12VB,576,21,4,12,1.4,1.3,12,5,187
ant,7V08WXC7,576,21,4,12,1.4,1.3,12,5,250
ant,D65P3BDY,576,21,4,12,1.4,1.3,16,5,0
ant,E6EYFSG9,576,21,4,12,1.4,1.3,16,5,62
ant,6WER0M1W,576,21,4,12,1.4,1.3,16,5,125
ant,751TUNID,576,21,4,12,1.4,1.3,16,5,187
ant,TE0RQTZR,576,21,4,12,1.4,1.3,16,5,250
ant,EAV4X3U9,576,21,4,16,1.4,1.3,1,5,0
ant,0DZYOGJN,576,21,4,16,1.4,1.3,1,5,62
ant,RSQ1PBFK,576,21,4,16,1.4,1.3,1,5,125
ant,IZN5MNV9,576,21,4,16,1.4,1.3,1,5,187
ant,QTFBHRQ8,576,21,4,16,1.4,1.3,1,5,250
ant,1N0S5QGS,576,21,4,16,1.4,1.3,4,5,0
ant,ACVKLDBL,576,21,4,16,1.4,1.3,4,5,62
ant,A6N5LGQ8,576,21,4,16,1.4,1.3,4,5,125
ant,3T05KKGZ,576,21,4,16,1.4,1.3,4,5,187
ant,189B1JXC,576,21,4,16,1.4,1.3,4,5,250
ant,I2ZWSA2P,576,21,4,16,1.4,1.3,8,5,0
ant,OLO0JDWN,576,21,4,16,1.4,1.3,8,5,62
ant,AVCWDEH3,576,21,4,16,1.4,1.3,8,5,125
ant,ZUICV2Z4,576,21,4,16,1.4,1.3,8,5,187
ant,LFBH3F6D,576,21,4,16,1.4,1.3,8,5,250
ant,5PX2IG6W,576,21,4,16,1.4,1.3,12,5,0
ant,3CCNMGA4,576,21,4,16,1.4,1.3,12,5,62
ant,ETDKTBOH,576,21,4,16,1.4,1.3,12,5,125
ant,XND2UIN4,576,21,4,16,1.4,1.3,12,5,187
ant,1NV11OPK,576,21,4,16,1.4,1.3,12,5,250
ant,LLZS4YT9,576,21,4,16,1.4,1.3,16,5,0
ant,QG08JADS,576,21,4,16,1.4,1.3,16,5,62
ant,3OA3U7ED,576,21,4,16,1.4,1.3,16,5,125
ant,JVHNK53Y,576,21,4,16,1.4,1.3,16,5,187
ant,T0P6P87B,576,21,4,16,1.4,1.3,16,5,250
ant,FJL4VK44,1536,21,4,0,1.4,1.3,1,5,0
ant,B9126ABW,1536,21,4,0,1.4,1.3,1,5,62
ant,06AB9XA1,1536,21,4,0,1.4,1.3,1,5,125
ant,SDWWUKHE,1536,21,4,0,1.4,1.3,1,5,187
ant,E7VMBBGW,1536,21,4,0,1.4,1.3,1,5,250
ant,XBNWQG8Y,1536,21,4,0,1.4,1.3,4,5,0
ant,0XKIGIUF,1536,21,4,0,1.4,1.3,4,5,62
ant,XQZ61EZY,1536,21,4,0,1.4,1.3,4,5,125
ant,ODNNB6BA,1536,21,4,0,1.4,1.3,4,5,187
ant,2NKBBUTO,1536,21,4,0,1.4,1.3,4,5,250
ant,CXS8W4AI,1536,21,4,0,1.4,1.3,8,5,0
ant,5604C6UP,1536,21,4,0,1.4,1.3,8,5,62
ant,14TM68PK,1536,21,4,0,1.4,1.3,8,5,125
ant,J4MOL0WA,1536,21,4,0,1.4,1.3,8,5,187
ant,AZFRS5QZ,1536,21,4,0,1.4,1.3,8,5,250
ant,WDXZN1U0,1536,21,4,0,1.4,1.3,12,5,0
ant,CF5YW91S,1536,21,4,0,1.4,1.3,12,5,62
ant,IFSW7IY1,1536,21,4,0,1.4,1.3,12,5,125
ant,ZF8NUK8O,1536,21,4,0,1.4,1.3,12,5,187
ant,ESX04838,1536,21,4,0,1.4,1.3,12,5,250
ant,G8B9E4AQ,1536,21,4,0,1.4,1.3,16,5,0
ant,OB76KFY7,1536,21,4,0,1.4,1.3,16,5,62
ant,AKXYV0W5,1536,21,4,0,1.4,1.3,16,5,125
ant,Y4XGWQNJ,1536,21,4,0,1.4,1.3,16,5,187
ant,6R1EZ4C2,1536,21,4,0,1.4,1.3,16,5,250
ant,KNT0XZJ4,1536,21,4,4,1.4,1.3,1,5,0
ant,4JA1E3MC,1536,21,4,4,1.4,1.3,1,5,62
ant,WFQMDA5T,1536,21,4,4,1.4,1.3,1,5,125
ant,WXMZJG9Q,1536,21,4,4,1.4,1.3,1,5,187
ant,U8LVMGG2,1536,21,4,4,1.4,1.3,1,5,250
ant,ITP48IB5,1536,21,4,4,1.4,1.3,4,5,0
ant,DP7RYQSM,1536,21,4,4,1.4,1.3,4,5,62
ant,QU6R46WV,1536,21,4,4,1.4,1.3,4,5,125
ant,S05RBLTX,1536,21,4,4,1.4,1.3,4,5,187
ant,NVJ29OCI,1536,21,4,4,1.4,1.3,4,5,250
ant,5YWBEQTC,1536,21,4,4,1.4,1.3,8,5,0
ant,B6GJMVX8,1536,21,4,4,1.4,1.3,8,5,62
ant,AACK25GL,1536,21,4,4,1.4,1.3,8,5,125
ant,JLYHV6EG,1536,21,4,4,1.4,1.3,8,5,187
ant,Y8FCB8IS,1536,21,4,4,1.4,1.3,8,5,250
ant,V46ZBGDD,1536,21,4,4,1.4,1.3,12,5,0
ant,AEB698DD,1536,21,4,4,1.4,1.3,12,5,62
ant,6MPCCABF,1536,21,4,4,1.4,1.3,12,5,125
ant,OWC0JGLE,1536,21,4,4,1.4,1.3,12,5,187
ant,L03ZVJ1G,1536,21,4,4,1.4,1.3,12,5,250
ant,01OXEGUW,1536,21,4,4,1.4,1.3,16,5,0
ant,VE13Q6M1,1536,21,4,4,1.4,1.3,16,5,62
ant,8X3WUEMX,1536,21,4,4,1.4,1.3,16,5,125
ant,GQQDBD3P,1536,21,4,4,1.4,1.3,16,5,187
ant,NNB21SV1,1536,21,4,4,1.4,1.3,16,5,250
ant,HJSNTCJZ,1536,21,4,8,1.4,1.3,1,5,0
