Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,WLF9HMYL,576,21,4,0,1.4,1.3,3,5,40,0,33.766122005823945,0.8915024408698082,1.445544880835135,83.4199734962705
referee,0MT88201,1588,21,4,0,1.4,1.3,3,5,40,0,35.20503704663566,0.9326454257965088,1.394088550505954,79.76271166085087
referee,5C330J9H,2605,21,4,0,1.4,1.3,3,5,40,0,35.77030727069376,0.947977533340454,1.3359834287941117,78.52083526253894
referee,VKGC7A0K,3622,21,4,0,1.4,1.3,3,5,40,0,36.07556537551816,0.9556303897500038,1.2977983205570345,77.79811085865953
referee,S28BQIID,4634,21,4,0,1.4,1.3,3,5,40,0,36.257205299043534,0.9600407668948172,1.271033255161173,77.18171109923476
referee,QH8EN4DH,5651,21,4,0,1.4,1.3,3,5,40,0,36.40300253624775,0.9630854916572572,1.25311330427628,76.71495343200543
referee,7GS3DQAB,6663,21,4,0,1.4,1.3,3,5,40,0,36.52572705672295,0.965401355922222,1.239530613726903,76.26406766194187
referee,VII6CVCU,7680,21,4,0,1.4,1.3,3,5,40,0,36.63231767391007,0.9671741864085196,1.2296853799327974,75.8877817048415
referee,RWHQIC2G,8692,21,4,0,1.4,1.3,3,5,40,0,36.719923038599816,0.9685865426063538,1.2221353053651585,75.53216524345284
referee,CIYYCFTE,9709,21,4,0,1.4,1.3,3,5,40,0,36.80659009139522,0.969724950492382,1.215245009143697,75.22758410572669
referee,8312RHDG,10721,21,4,0,1.4,1.3,3,5,40,0,36.887723886119865,0.9706856390833856,1.2102570048237826,74.98778635073732
referee,SRPDL3IZ,11738,21,4,0,1.4,1.3,3,5,40,0,36.96382294161321,0.9714980733394624,1.2066115783653066,74.79854984840789
referee,GATVX35D,12750,21,4,0,1.4,1.3,3,5,40,0,37.0309821741032,0.9721368607878684,1.2036504635282146,74.68287652378272
referee,8ISANYZX,13767,21,4,0,1.4,1.3,3,5,40,0,37.10435633227593,0.9727541270852088,1.2012305739270823,74.54746920355755
referee,QUWIOPS5,14779,21,4,0,1.4,1.3,3,5,40,0,37.16997023066836,0.9732773303985596,1.1983287058314245,74.43209296342732
referee,WPWBG3A5,15796,21,4,0,1.4,1.3,3,5,40,0,37.23614365800416,0.9737809723615648,1.196385091581624,74.32760771446262
referee,WP3B499U,16808,21,4,0,1.4,1.3,3,5,40,0,37.30112108578119,0.9742330572009088,1.1942930166873176,74.21974075901296
referee,JUC05NZI,17925,21,4,0,1.4,1.3,3,5,40,0,37.36665462082221,0.974673630297184,1.1928905743178595,74.09745572413871
