Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,Q26F4P2R,576,0,4,0,1.4,1.3,3,5,40,0,32.493359902762194,0.8810149115324021,1.5331247760599904,87.58378335840116
referee,ZM08PN5O,2605,0,4,0,1.4,1.3,3,5,40,0,34.70416001382105,0.946049975156784,1.330684647429481,79.9518786327666
referee,6U4XFU7A,4634,0,4,0,1.4,1.3,3,5,40,0,35.68393053470891,0.960795805156231,1.2711870277171509,77.21587581615273
referee,IUVPTSAG,6663,0,4,0,1.4,1.3,3,5,40,0,36.108495346309866,0.9663374888896942,1.2424648966294043,75.96297568679456
referee,5MQAAMXN,8692,0,4,0,1.4,1.3,3,5,40,0,36.402184389453126,0.9694951075315476,1.2275096108102352,75.25814588302518
referee,NL1T386C,10721,0,4,0,1.4,1.3,3,5,40,0,36.61680815781528,0.9716404423117636,1.2177325450480194,74.8466522528012
referee,2FQL7U7F,12750,0,4,0,1.4,1.3,3,5,40,0,36.775993927796655,0.9731569001078606,1.211661312021447,74.47506275909956
referee,2NHJ1H37,14779,0,4,0,1.4,1.3,3,5,40,0,36.91139493084632,0.974326336979866,1.207094500574938,74.3045868265782
referee,5TFJV5SA,16808,0,4,0,1.4,1.3,3,5,40,0,37.02811408481935,0.9752660468220712,1.204239352287811,74.16417963751266
referee,2Y3O52I0,20000,0,4,0,1.4,1.3,3,5,40,0,37.17989453140346,0.97646162211895,1.2003340291880873,73.94635349325539
referee,A4GNOLME,576,12,4,0,1.4,1.3,3,5,40,0,32.48731647033817,0.8809270671010018,1.513999192556901,87.58298691911686
referee,D7AI7HHG,2605,12,4,0,1.4,1.3,3,5,40,0,34.71320071541919,0.9460083466768264,1.32976780154109,80.04314046123316
referee,MFF3IKMW,4634,12,4,0,1.4,1.3,3,5,40,0,35.674742431162464,0.9607587152719498,1.2720826413487725,77.2149087113075
referee,DJLJABUM,6663,12,4,0,1.4,1.3,3,5,40,0,36.10986931490922,0.966365173459053,1.2435287780267112,75.95936642622839
referee,FK9EUSS2,8692,12,4,0,1.4,1.3,3,5,40,0,36.39812750625161,0.9694633135199546,1.2275338725279812,75.26206486997971
referee,ZH62ANUV,10721,12,4,0,1.4,1.3,3,5,40,0,36.60624236527578,0.971555985212326,1.218583181660745,74.82886510878507
referee,1VSP5WW3,12750,12,4,0,1.4,1.3,3,5,40,0,36.77019819772848,0.9731196588277816,1.2117804380310468,74.47822955339667
referee,NAYP7BDW,14779,12,4,0,1.4,1.3,3,5,40,0,36.91325177944405,0.9743173331022262,1.2074595155731067,74.31164732404302
referee,1H62Z2XL,16808,12,4,0,1.4,1.3,3,5,40,0,37.02978862113432,0.9752900090813637,1.2042844961120285,74.15982450523579
referee,BXUEWWYS,20000,12,4,0,1.4,1.3,3,5,40,0,37.18427662571264,0.9764724254608156,1.200330344662498,73.93204919087142
referee,8OIK14N8,576,25,4,0,1.4,1.3,3,5,40,0,32.48431076350166,0.8811839547753334,1.5129002892815415,87.56686218408304
referee,AIF3J4EN,2605,25,4,0,1.4,1.3,3,5,40,0,34.70602363505916,0.945877963900566,1.3312805001308607,79.97435591923472
referee,VXACFOTZ,4634,25,4,0,1.4,1.3,3,5,40,0,35.67905178494849,0.9608081772923468,1.2715821896661383,77.19978900679912
referee,ORCQFGS7,6663,25,4,0,1.4,1.3,3,5,40,0,36.11301656545006,0.9663134336471556,1.24359666533518,75.98711538224504
referee,XK6DIM4K,8692,25,4,0,1.4,1.3,3,5,40,0,36.40074315401215,0.9694698601961136,1.227926777577381,75.26399275872345
referee,13UHG2PT,10721,25,4,0,1.4,1.3,3,5,40,0,36.60275506451149,0.9714897578954697,1.2179658033712624,74.81719032022865
referee,5J7404HY,12750,25,4,0,1.4,1.3,3,5,40,0,36.78514257921166,0.973256919682026,1.2114148724342615,74.49126334549379
referee,C0CR9J7C,14779,25,4,0,1.4,1.3,3,5,40,0,36.90429266386656,0.9742539423704148,1.2075405628484306,74.31595820969298
referee,NV2C7TCX,16808,25,4,0,1.4,1.3,3,5,40,0,37.02951180989005,0.9752956885099412,1.2043992527844818,74.13753052622198
referee,SMUPRWSJ,20000,25,4,0,1.4,1.3,3,5,40,0,37.1765558385513,0.9764414155483244,1.2001543507068075,73.95489309224821
referee,UV7S8TI8,576,37,4,0,1.4,1.3,3,5,40,0,32.48424920820858,0.8806510424613953,1.5274779591769618,87.62122864665687
referee,Z9RZ92VD,2605,37,4,0,1.4,1.3,3,5,40,0,34.71565753057,0.945957996547222,1.3304458464504552,80.043355373421
referee,9AN7FQP0,4634,37,4,0,1.4,1.3,3,5,40,0,35.67064688242504,0.96078300178051,1.271774411101426,77.19506725961361
referee,PIA2OLEO,6663,37,4,0,1.4,1.3,3,5,40,0,36.12122358587536,0.9664016115665436,1.2425704862392193,75.95823497676895
referee,P20B14AK,8692,37,4,0,1.4,1.3,3,5,40,0,36.403500512519685,0.9695013076066972,1.2277255146925343,75.2756991520134
referee,LCI8JDI6,10721,37,4,0,1.4,1.3,3,5,40,0,36.603317203434,0.971528654396534,1.2180497343825132,74.83002816297802
referee,GT72YPA4,12750,37,4,0,1.4,1.3,3,5,40,0,36.767020327971885,0.9730731990933418,1.2119643120722303,74.49812789361089
referee,NHWY8PL3,14779,37,4,0,1.4,1.3,3,5,40,0,36.918574866833225,0.9743670445680618,1.2073418511761704,74.3129620809568
