Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,QHI0RCCZ,2048,0,4,0,1.4,1.3,3,5,40,0,43.33802747401332,0.9961791121959688,1.180039218235255,72.22868679487866
referee,ZSL2BM96,2048,12,4,0,1.4,1.3,3,5,40,0,40.54201632831753,0.9880472886562348,1.1777948804811664,71.63173658845233
referee,BXK4PT0L,2048,37,4,0,1.4,1.3,3,5,40,0,34.40404662676522,0.917933139503002,1.445838983082263,80.6981359212132
referee,VG20XVAK,2048,50,4,0,1.4,1.3,3,5,40,0,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,Q7E2Z76U,2048,0,4,4,1.4,1.3,3,5,40,0,43.33802747401332,0.9961791121959688,1.180039218235255,72.22868679487866
referee,JT8PFMOL,2048,12,4,4,1.4,1.3,3,5,40,0,40.10652632912888,0.9859608921408654,1.1819680201350868,71.84077029584874
referee,BQLSO9OX,2048,37,4,4,1.4,1.3,3,5,40,0,34.72163768369241,0.920147629380226,1.4372255433135237,82.849204651079
referee,7AFKCMDU,2048,50,4,4,1.4,1.3,3,5,40,0,32.35620851133592,0.8606922474503517,1.5165858562294414,86.89239188731774
referee,H708NWBU,2048,0,4,12,1.4,1.3,3,5,40,0,43.33802747401332,0.9961791121959688,1.180039218235255,72.22868679487866
referee,X1ZESFML,2048,12,4,12,1.4,1.3,3,5,40,0,40.04306671017775,0.9856622114777563,1.182352909474667,71.85820978779634
referee,58IQLJTB,2048,37,4,12,1.4,1.3,3,5,40,0,34.722912240929176,0.920356194972992,1.4259445666777384,82.94262192237055
referee,PTDNBXBE,2048,50,4,12,1.4,1.3,3,5,40,0,32.29541927714347,0.8604716232419014,1.5012276963485491,87.12418732378386
referee,MQUMBSK1,2048,0,4,16,1.4,1.3,3,5,40,0,43.33802747401332,0.9961791121959688,1.180039218235255,72.22868679487866
referee,P81PQ6GJ,2048,12,4,16,1.4,1.3,3,5,40,0,40.04306671017775,0.9856622114777563,1.182352909474667,71.85820978779634
referee,EIQQ1J27,2048,37,4,16,1.4,1.3,3,5,40,0,34.722912240929176,0.920356194972992,1.4259445666777384,82.94262192237055
referee,TY0V0YWC,2048,50,4,16,1.4,1.3,3,5,40,0,32.29541927714347,0.8604716232419014,1.5012276963485491,87.12418732378386
cat,1OQ0UH38,2048,0,4,0,1.4,1.3,3,5,40,0,39.77315675680209,0.995869827568531,1.191416643217498,49.28416858849784
cat,RUSGXVZU,2048,12,4,0,1.4,1.3,3,5,40,0,37.33973320996873,0.9907872459292412,1.1871895738338918,48.32530625776885
cat,MQMKS193,2048,37,4,0,1.4,1.3,3,5,40,0,31.190245185187575,0.8926242890954018,1.296799748846141,55.45898132255064
cat,QE140HIC,2048,50,4,0,1.4,1.3,3,5,40,0,29.55334040037774,0.6502492967247963,1.3011175181894117,66.366040334593
cat,XUZ40ASG,2048,0,4,4,1.4,1.3,3,5,40,0,39.77315675680209,0.995869827568531,1.191416643217498,49.28416858849784
cat,FSS2L9MP,2048,12,4,4,1.4,1.3,3,5,40,0,37.175696255000105,0.9895779305696488,1.1880383172273594,48.55531918726532
cat,IGMV9398,2048,37,4,4,1.4,1.3,3,5,40,0,31.200650273158494,0.8925233408808708,1.3130371238309473,55.517589140360734
cat,T5IBBK8K,2048,50,4,4,1.4,1.3,3,5,40,0,29.56310358866212,0.6522380682826042,1.3132011508593746,66.44661344218848
cat,O8D03WCH,2048,0,4,12,1.4,1.3,3,5,40,0,39.77315675680209,0.995869827568531,1.191416643217498,49.28416858849784
