Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,VB5JR4B3,576,0,4,0,1.4,1.3,3,5,40,0,32.980300964535616,0.8931728926301002,1.573276416228026,86.4827439735304
referee,S615P7IC,3848,0,4,0,1.4,1.3,3,5,40,0,36.05987702799344,0.9578921142220496,1.2948617912888791,80.00820458881766
referee,RPZ0S199,6936,0,4,0,1.4,1.3,3,5,40,0,36.56385067802917,0.9671053043007852,1.2400872425646046,78.36570026766049
referee,KL2QGV0Y,10024,0,4,0,1.4,1.3,3,5,40,0,36.81377439602456,0.971311081945896,1.2177882349323002,77.26059651406109
referee,E4LIJPG8,13112,0,4,0,1.4,1.3,3,5,40,0,37.0038283976899,0.9737866470217704,1.206313856745264,76.6011763913905
referee,P9WZJIO0,16200,0,4,0,1.4,1.3,3,5,40,0,37.16477187072398,0.9753948047757148,1.199113292961816,76.13964614708274
referee,QUCTF9X1,20000,0,4,0,1.4,1.3,3,5,40,0,37.34567445064584,0.9768363291025162,1.1934208561445423,75.73133195304928
referee,8O1QZ298,576,8,4,0,1.4,1.3,3,5,40,0,32.984496481318224,0.8934025087952614,1.568135262785537,86.43211951140346
referee,D8033GZB,3848,8,4,0,1.4,1.3,3,5,40,0,36.05593554306185,0.9578957948088646,1.2951662521004377,80.0068203014902
referee,ARCMNBP0,6936,8,4,0,1.4,1.3,3,5,40,0,36.560251074136126,0.967067722082138,1.240090150795612,78.3626662132441
referee,ZJ0C5CGZ,10024,8,4,0,1.4,1.3,3,5,40,0,36.81121050558349,0.9712874966859818,1.2179264349301129,77.25932600377423
referee,0VHHIU0B,13112,8,4,0,1.4,1.3,3,5,40,0,37.00500620608319,0.9738118118047714,1.206129975618842,76.59406532635205
referee,5HMHIPKR,16200,8,4,0,1.4,1.3,3,5,40,0,37.16935118433698,0.9754286840558052,1.1990342525796804,76.13653624130593
referee,PSODV6WA,20000,8,4,0,1.4,1.3,3,5,40,0,37.34351904488382,0.9768119940161704,1.1935276020061063,75.72585169225965
referee,9A13V3M0,576,17,4,0,1.4,1.3,3,5,40,0,32.97458076792035,0.8933287951350212,1.5633031133303792,86.47300339466443
referee,UQEW9JZM,3848,17,4,0,1.4,1.3,3,5,40,0,36.0558065232937,0.957897580564022,1.2952421223649353,79.99348310395143
referee,4JUHMIWW,6936,17,4,0,1.4,1.3,3,5,40,0,36.55837462875645,0.9670818132162096,1.2402482273824198,78.35359565472841
referee,I92ANO06,10024,17,4,0,1.4,1.3,3,5,40,0,36.81169780734509,0.9712897446751596,1.217763391766288,77.25967365584278
referee,6272WA8W,13112,17,4,0,1.4,1.3,3,5,40,0,37.0062083412824,0.973824954032898,1.205890025250119,76.60027249601228
referee,619EZKYD,16200,17,4,0,1.4,1.3,3,5,40,0,37.164633201847806,0.9753993400931358,1.1991183050565302,76.13311028819409
referee,0TELWOMN,20000,17,4,0,1.4,1.3,3,5,40,0,37.3436179446036,0.9768143445253372,1.1934061966283736,75.7284622432471
referee,KDI963JE,576,25,4,0,1.4,1.3,3,5,40,0,32.972182590794866,0.8932865750789643,1.55867000249023,86.51528420714627
referee,3LIUO7ME,3848,25,4,0,1.4,1.3,3,5,40,0,36.0602051735121,0.957866879105568,1.2945308970052958,80.00633990954094
referee,G50YINTL,6936,25,4,0,1.4,1.3,3,5,40,0,36.55843411996381,0.9670741322636603,1.2402233698258551,78.34006250784192
referee,1DUIE2D4,10024,25,4,0,1.4,1.3,3,5,40,0,36.8161428621618,0.9713620561361312,1.2175070941544006,77.24192443750685
referee,SA1QGTM4,13112,25,4,0,1.4,1.3,3,5,40,0,37.00602305172662,0.973828854560852,1.2059296939074216,76.57978630775489
referee,0CSQNQ9U,16200,25,4,0,1.4,1.3,3,5,40,0,37.16461026279156,0.9754004174470902,1.199099598661588,76.13106862240971
referee,5ZC6ZZ2H,20000,25,4,0,1.4,1.3,3,5,40,0,37.345993205955565,0.9768374490737916,1.193241925756244,75.73265303090974
referee,KJ7HXWYK,576,33,4,0,1.4,1.3,3,5,40,0,32.96551698589723,0.8931111147999764,1.566832477619835,86.53025852988053
referee,IWMQ8EBT,3848,33,4,0,1.4,1.3,3,5,40,0,36.05961396379274,0.9579003006219864,1.2946009097918634,80.02529642869672
referee,Z11NQO00,6936,33,4,0,1.4,1.3,3,5,40,0,36.56099763982444,0.9671170991659164,1.2399739544066055,78.34106753836735
referee,IZ8JUXIR,10024,33,4,0,1.4,1.3,3,5,40,0,36.80938677789737,0.9712588474154472,1.2182816745134657,77.25742339881728
referee,P5WMZV7U,13112,33,4,0,1.4,1.3,3,5,40,0,37.00695593897806,0.9738303858041764,1.2060975768501023,76.59180874837986
referee,QKUNZPLL,16200,33,4,0,1.4,1.3,3,5,40,0,37.16816816272802,0.9754151248931884,1.1990301366982024,76.1408913735828
referee,GUVZ3UIA,20000,33,4,0,1.4,1.3,3,5,40,0,37.34487494921496,0.9768223711848258,1.1934361295824183,75.7437589342631
referee,7TDIK0PA,576,42,4,0,1.4,1.3,3,5,40,0,32.99335493176173,0.8931838947534562,1.5679730216876342,86.46323753201165
referee,CWCHQI68,3848,42,4,0,1.4,1.3,3,5,40,0,36.0612243306127,0.9578940564393996,1.2941744898434004,80.02187679653157
