Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,HM3TL205,576,21,4,0,1.4,1.3,3,5,40,0
referee,QSOZXCKF,2605,21,4,0,1.4,1.3,3,5,40,0
referee,3WAIROZ3,4634,21,4,0,1.4,1.3,3,5,40,0
referee,NCY8FM1M,6663,21,4,0,1.4,1.3,3,5,40,0
referee,16PIV9OX,8692,21,4,0,1.4,1.3,3,5,40,0
referee,5ZNMD6SL,10721,21,4,0,1.4,1.3,3,5,40,0
referee,B1FTASUC,12750,21,4,0,1.4,1.3,3,5,40,0
referee,8AYW9HK4,14779,21,4,0,1.4,1.3,3,5,40,0
referee,GCP12Y36,16808,21,4,0,1.4,1.3,3,5,40,0
referee,J8UVUF3K,20000,21,4,0,1.4,1.3,3,5,40,0
referee,GZT9PA95,576,21,4,2,1.4,1.3,3,5,40,0
referee,7N28SKTF,2605,21,4,2,1.4,1.3,3,5,40,0
referee,CCYHI0LF,4634,21,4,2,1.4,1.3,3,5,40,0
referee,TRRTHNTE,6663,21,4,2,1.4,1.3,3,5,40,0
referee,58Z7TSYU,8692,21,4,2,1.4,1.3,3,5,40,0
referee,6DN61UQD,10721,21,4,2,1.4,1.3,3,5,40,0
referee,LN6J5ILP,12750,21,4,2,1.4,1.3,3,5,40,0
referee,5KR1HSMF,14779,21,4,2,1.4,1.3,3,5,40,0
referee,L9RTDFJE,16808,21,4,2,1.4,1.3,3,5,40,0
referee,M8U2VMNN,20000,21,4,2,1.4,1.3,3,5,40,0
referee,FUHW9ZI0,576,21,4,4,1.4,1.3,3,5,40,0
referee,3GUAHLDU,2605,21,4,4,1.4,1.3,3,5,40,0
referee,N6UF7XTJ,4634,21,4,4,1.4,1.3,3,5,40,0
referee,8K23MXMG,6663,21,4,4,1.4,1.3,3,5,40,0
referee,O84MF7EA,8692,21,4,4,1.4,1.3,3,5,40,0
referee,CNTFHQJY,10721,21,4,4,1.4,1.3,3,5,40,0
referee,BVK433Q8,12750,21,4,4,1.4,1.3,3,5,40,0
referee,BH8EK23V,14779,21,4,4,1.4,1.3,3,5,40,0
referee,VST8LY48,16808,21,4,4,1.4,1.3,3,5,40,0
referee,7SL8NCLJ,20000,21,4,4,1.4,1.3,3,5,40,0
referee,XCN91ZZF,576,21,4,6,1.4,1.3,3,5,40,0
referee,AHOVMB16,2605,21,4,6,1.4,1.3,3,5,40,0
referee,5FHLQVBQ,4634,21,4,6,1.4,1.3,3,5,40,0
referee,CCUZM2FM,6663,21,4,6,1.4,1.3,3,5,40,0
referee,8TL0IO0T,8692,21,4,6,1.4,1.3,3,5,40,0
referee,E1V7K4DU,10721,21,4,6,1.4,1.3,3,5,40,0
referee,6XZTUWVX,12750,21,4,6,1.4,1.3,3,5,40,0
referee,U2HROWVZ,14779,21,4,6,1.4,1.3,3,5,40,0
referee,9269UC3U,16808,21,4,6,1.4,1.3,3,5,40,0
referee,OHUL4P3G,20000,21,4,6,1.4,1.3,3,5,40,0
referee,XSVEU4EW,576,21,4,8,1.4,1.3,3,5,40,0
referee,UEYUU7BT,2605,21,4,8,1.4,1.3,3,5,40,0
referee,UAOHUVFE,4634,21,4,8,1.4,1.3,3,5,40,0
referee,ROIO0LJB,6663,21,4,8,1.4,1.3,3,5,40,0
referee,890Z1SES,8692,21,4,8,1.4,1.3,3,5,40,0
referee,JVMMLYMW,10721,21,4,8,1.4,1.3,3,5,40,0
referee,KIZ6633H,12750,21,4,8,1.4,1.3,3,5,40,0
referee,0ASFLZCQ,14779,21,4,8,1.4,1.3,3,5,40,0
referee,8RLR12GO,16808,21,4,8,1.4,1.3,3,5,40,0
referee,6C5UGK2I,20000,21,4,8,1.4,1.3,3,5,40,0
referee,JGHCOC9R,576,21,4,10,1.4,1.3,3,5,40,0
referee,G7E4RQ6S,2605,21,4,10,1.4,1.3,3,5,40,0
referee,8V0X7CKW,4634,21,4,10,1.4,1.3,3,5,40,0
referee,MTZCKSHT,6663,21,4,10,1.4,1.3,3,5,40,0
referee,JXTSISDB,8692,21,4,10,1.4,1.3,3,5,40,0
referee,10LATS4H,10721,21,4,10,1.4,1.3,3,5,40,0
referee,1C5UST0Z,12750,21,4,10,1.4,1.3,3,5,40,0
referee,LT9L61G8,14779,21,4,10,1.4,1.3,3,5,40,0
referee,O4FM4IFP,16808,21,4,10,1.4,1.3,3,5,40,0
referee,9K8SDGHP,20000,21,4,10,1.4,1.3,3,5,40,0
referee,2Z041P0G,576,21,4,12,1.4,1.3,3,5,40,0
referee,WCA1QSF2,2605,21,4,12,1.4,1.3,3,5,40,0
referee,UGEF90C0,4634,21,4,12,1.4,1.3,3,5,40,0
referee,AP1CYUTQ,6663,21,4,12,1.4,1.3,3,5,40,0
