Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,WLF9HMYL,576,21,4,0,1.4,1.3,3,5,40,0
referee,0MT88201,1588,21,4,0,1.4,1.3,3,5,40,0
referee,5C330J9H,2605,21,4,0,1.4,1.3,3,5,40,0
referee,VKGC7A0K,3622,21,4,0,1.4,1.3,3,5,40,0
referee,S28BQIID,4634,21,4,0,1.4,1.3,3,5,40,0
referee,QH8EN4DH,5651,21,4,0,1.4,1.3,3,5,40,0
referee,7GS3DQAB,6663,21,4,0,1.4,1.3,3,5,40,0
referee,VII6CVCU,7680,21,4,0,1.4,1.3,3,5,40,0
referee,RWHQIC2G,8692,21,4,0,1.4,1.3,3,5,40,0
referee,CIYYCFTE,9709,21,4,0,1.4,1.3,3,5,40,0
referee,8312RHDG,10721,21,4,0,1.4,1.3,3,5,40,0
referee,SRPDL3IZ,11738,21,4,0,1.4,1.3,3,5,40,0
referee,GATVX35D,12750,21,4,0,1.4,1.3,3,5,40,0
referee,8ISANYZX,13767,21,4,0,1.4,1.3,3,5,40,0
referee,QUWIOPS5,14779,21,4,0,1.4,1.3,3,5,40,0
referee,WPWBG3A5,15796,21,4,0,1.4,1.3,3,5,40,0
referee,WP3B499U,16808,21,4,0,1.4,1.3,3,5,40,0
referee,JUC05NZI,17925,21,4,0,1.4,1.3,3,5,40,0
referee,MZGJ2VJR,18937,21,4,0,1.4,1.3,3,5,40,0
referee,BZ5UKN27,20000,21,4,0,1.4,1.3,3,5,40,0
ant,UH5JF5CG,576,21,4,0,1.4,1.3,3,5,40,0
ant,GRBBUVIG,1588,21,4,0,1.4,1.3,3,5,40,0
ant,ALAK13GR,2605,21,4,0,1.4,1.3,3,5,40,0
ant,WDSSP4UE,3622,21,4,0,1.4,1.3,3,5,40,0
ant,60XBTX1A,4634,21,4,0,1.4,1.3,3,5,40,0
ant,L70JH35T,5651,21,4,0,1.4,1.3,3,5,40,0
ant,7LAZ4X4R,6663,21,4,0,1.4,1.3,3,5,40,0
ant,JGEM2ZVT,7680,21,4,0,1.4,1.3,3,5,40,0
ant,LO88JOGJ,8692,21,4,0,1.4,1.3,3,5,40,0
ant,7806DLHF,9709,21,4,0,1.4,1.3,3,5,40,0
ant,QEGYP1XI,10721,21,4,0,1.4,1.3,3,5,40,0
ant,EL3UJ48K,11738,21,4,0,1.4,1.3,3,5,40,0
ant,MVFKSLQX,12750,21,4,0,1.4,1.3,3,5,40,0
ant,IS7RFB4E,13767,21,4,0,1.4,1.3,3,5,40,0
ant,K0RIY0A4,14779,21,4,0,1.4,1.3,3,5,40,0
