Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,6AMIOYP4,576,0,4,0,1.4,1.3,3,5,40,0
referee,0M64J3NV,2605,0,4,0,1.4,1.3,3,5,40,0
referee,EVG2GI7V,4634,0,4,0,1.4,1.3,3,5,40,0
referee,L0HEMAXT,6663,0,4,0,1.4,1.3,3,5,40,0
referee,HPZ9HQZZ,8692,0,4,0,1.4,1.3,3,5,40,0
referee,308DXD0T,10721,0,4,0,1.4,1.3,3,5,40,0
referee,XAU6U9UR,12750,0,4,0,1.4,1.3,3,5,40,0
referee,EYOERMVN,14779,0,4,0,1.4,1.3,3,5,40,0
referee,530MB9ZL,16808,0,4,0,1.4,1.3,3,5,40,0
referee,KR9WRIZB,20000,0,4,0,1.4,1.3,3,5,40,0
referee,K9U3KPQX,576,12,4,0,1.4,1.3,3,5,40,0
referee,DA3QD0FQ,2605,12,4,0,1.4,1.3,3,5,40,0
referee,4WI7LIVL,4634,12,4,0,1.4,1.3,3,5,40,0
referee,V99TOPQ3,6663,12,4,0,1.4,1.3,3,5,40,0
referee,5BPIL7L7,8692,12,4,0,1.4,1.3,3,5,40,0
referee,QRBINP0E,10721,12,4,0,1.4,1.3,3,5,40,0
referee,1B58G7M5,12750,12,4,0,1.4,1.3,3,5,40,0
referee,AFJH8AYA,14779,12,4,0,1.4,1.3,3,5,40,0
referee,AE0AZJ06,16808,12,4,0,1.4,1.3,3,5,40,0
referee,RKS611DO,20000,12,4,0,1.4,1.3,3,5,40,0
referee,1CS45ZNS,576,25,4,0,1.4,1.3,3,5,40,0
referee,OFYCOO76,2605,25,4,0,1.4,1.3,3,5,40,0
referee,UGWJTTAN,4634,25,4,0,1.4,1.3,3,5,40,0
referee,Y9TXY9UO,6663,25,4,0,1.4,1.3,3,5,40,0
referee,1COYGT8S,8692,25,4,0,1.4,1.3,3,5,40,0
referee,5B7PUOBP,10721,25,4,0,1.4,1.3,3,5,40,0
referee,13O34REH,12750,25,4,0,1.4,1.3,3,5,40,0
referee,GP9UBZD0,14779,25,4,0,1.4,1.3,3,5,40,0
referee,ZFK8RX75,16808,25,4,0,1.4,1.3,3,5,40,0
