Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,QHI0RCCZ,2048,0,4,0,1.4,1.3,3,5,40,0
referee,ZSL2BM96,2048,12,4,0,1.4,1.3,3,5,40,0
referee,BXK4PT0L,2048,37,4,0,1.4,1.3,3,5,40,0
referee,VG20XVAK,2048,50,4,0,1.4,1.3,3,5,40,0
referee,Q7E2Z76U,2048,0,4,4,1.4,1.3,3,5,40,0
referee,JT8PFMOL,2048,12,4,4,1.4,1.3,3,5,40,0
referee,BQLSO9OX,2048,37,4,4,1.4,1.3,3,5,40,0
referee,7AFKCMDU,2048,50,4,4,1.4,1.3,3,5,40,0
referee,H708NWBU,2048,0,4,12,1.4,1.3,3,5,40,0
referee,X1ZESFML,2048,12,4,12,1.4,1.3,3,5,40,0
referee,58IQLJTB,2048,37,4,12,1.4,1.3,3,5,40,0
referee,PTDNBXBE,2048,50,4,12,1.4,1.3,3,5,40,0
referee,MQUMBSK1,2048,0,4,16,1.4,1.3,3,5,40,0
referee,P81PQ6GJ,2048,12,4,16,1.4,1.3,3,5,40,0
referee,EIQQ1J27,2048,37,4,16,1.4,1.3,3,5,40,0
referee,TY0V0YWC,2048,50,4,16,1.4,1.3,3,5,40,0
cat,1OQ0UH38,2048,0,4,0,1.4,1.3,3,5,40,0
cat,RUSGXVZU,2048,12,4,0,1.4,1.3,3,5,40,0
cat,MQMKS193,2048,37,4,0,1.4,1.3,3,5,40,0
cat,QE140HIC,2048,50,4,0,1.4,1.3,3,5,40,0
cat,XUZ40ASG,2048,0,4,4,1.4,1.3,3,5,40,0
cat,FSS2L9MP,2048,12,4,4,1.4,1.3,3,5,40,0
cat,IGMV9398,2048,37,4,4,1.4,1.3,3,5,40,0
cat,T5IBBK8K,2048,50,4,4,1.4,1.3,3,5,40,0
cat,O8D03WCH,2048,0,4,12,1.4,1.3,3,5,40,0
cat,ZW5CXDJF,2048,12,4,12,1.4,1.3,3,5,40,0
cat,7UMCCGT0,2048,37,4,12,1.4,1.3,3,5,40,0
cat,ME3YZR47,2048,50,4,12,1.4,1.3,3,5,40,0
cat,9JIJMU7S,2048,0,4,16,1.4,1.3,3,5,40,0
cat,OQ2TZTXT,2048,12,4,16,1.4,1.3,3,5,40,0
cat,EK7FIZAW,2048,37,4,16,1.4,1.3,3,5,40,0
cat,327MO5R2,2048,50,4,16,1.4,1.3,3,5,40,0
american_football,Q0Y7RNPU,2048,0,4,0,1.4,1.3,3,5,40,0
american_football,AVKC05JO,2048,12,4,0,1.4,1.3,3,5,40,0
american_football,JGZ16AYG,2048,37,4,0,1.4,1.3,3,5,40,0
american_football,R5OLGTNK,2048,50,4,0,1.4,1.3,3,5,40,0
american_football,LFLTBPSK,2048,0,4,4,1.4,1.3,3,5,40,0
american_football,HVACR7PT,2048,12,4,4,1.4,1.3,3,5,40,0
american_football,RIVA66FO,2048,37,4,4,1.4,1.3,3,5,40,0
american_football,DSZ08REG,2048,50,4,4,1.4,1.3,3,5,40,0
american_football,5GW7319G,2048,0,4,12,1.4,1.3,3,5,40,0
american_football,WFLZR8G1,2048,12,4,12,1.4,1.3,3,5,40,0
american_football,PK1CHOWP,2048,37,4,12,1.4,1.3,3,5,40,0
american_football,CU40P82H,2048,50,4,12,1.4,1.3,3,5,40,0
american_football,HRBBM850,2048,0,4,16,1.4,1.3,3,5,40,0
american_football,89PY7HTP,2048,12,4,16,1.4,1.3,3,5,40,0
american_football,HIFIHIVP,2048,37,4,16,1.4,1.3,3,5,40,0
american_football,AJUONFXN,2048,50,4,16,1.4,1.3,3,5,40,0
wheel,BPKQLY72,2048,0,4,0,1.4,1.3,3,5,40,0
wheel,R1VWDA0H,2048,12,4,0,1.4,1.3,3,5,40,0
wheel,161NJ3MN,2048,37,4,0,1.4,1.3,3,5,40,0
wheel,A1SLSKZF,2048,50,4,0,1.4,1.3,3,5,40,0
wheel,I5TQLU1P,2048,0,4,4,1.4,1.3,3,5,40,0
wheel,8S08J5B8,2048,12,4,4,1.4,1.3,3,5,40,0
wheel,0SYFC5CE,2048,37,4,4,1.4,1.3,3,5,40,0
wheel,95EFK79L,2048,50,4,4,1.4,1.3,3,5,40,0
wheel,QW9BFYEW,2048,0,4,12,1.4,1.3,3,5,40,0
wheel,K4WEL95W,2048,12,4,12,1.4,1.3,3,5,40,0
wheel,RXJO6RDS,2048,37,4,12,1.4,1.3,3,5,40,0
wheel,9NERIIR5,2048,50,4,12,1.4,1.3,3,5,40,0
wheel,VHOZZZS8,2048,0,4,16,1.4,1.3,3,5,40,0
wheel,1GKI544H,2048,12,4,16,1.4,1.3,3,5,40,0
wheel,H4HX7M0D,2048,37,4,16,1.4,1.3,3,5,40,0
wheel,CWBWN1ED,2048,50,4,16,1.4,1.3,3,5,40,0
runberk,NE04687M,2048,0,4,0,1.4,1.3,3,5,40,0
runberk,FZPTXCDI,2048,12,4,0,1.4,1.3,3,5,40,0
runberk,RH0GYE6J,2048,37,4,0,1.4,1.3,3,5,40,0
runberk,W8NK6ALD,2048,50,4,0,1.4,1.3,3,5,40,0
runberk,8N2S1JMC,2048,0,4,4,1.4,1.3,3,5,40,0
runberk,WUNM4BRK,2048,12,4,4,1.4,1.3,3,5,40,0
runberk,SKSTSZJZ,2048,37,4,4,1.4,1.3,3,5,40,0
runberk,4IU77F3L,2048,50,4,4,1.4,1.3,3,5,40,0
runberk,1PBFXVOZ,2048,0,4,12,1.4,1.3,3,5,40,0
runberk,KV09TGPZ,2048,12,4,12,1.4,1.3,3,5,40,0
runberk,HEXNB9ZV,2048,37,4,12,1.4,1.3,3,5,40,0
runberk,ROF9A6U2,2048,50,4,12,1.4,1.3,3,5,40,0
runberk,XLYKGV0I,2048,0,4,16,1.4,1.3,3,5,40,0
runberk,J2ZHNJ3Q,2048,12,4,16,1.4,1.3,3,5,40,0
runberk,64Z53COB,2048,37,4,16,1.4,1.3,3,5,40,0
runberk,5KTK5DP1,2048,50,4,16,1.4,1.3,3,5,40,0
ant,M71MWCB7,2048,0,4,0,1.4,1.3,3,5,40,0
ant,GH98LIG7,2048,12,4,0,1.4,1.3,3,5,40,0
ant,G9PG3KLJ,2048,37,4,0,1.4,1.3,3,5,40,0
ant,QHTQ1HAO,2048,50,4,0,1.4,1.3,3,5,40,0
ant,XLXQ4GJH,2048,0,4,4,1.4,1.3,3,5,40,0
ant,U653LQZ6,2048,12,4,4,1.4,1.3,3,5,40,0
ant,BECPV6SX,2048,37,4,4,1.4,1.3,3,5,40,0
ant,L4ZJEJAU,2048,50,4,4,1.4,1.3,3,5,40,0
ant,SFB8LXUO,2048,0,4,12,1.4,1.3,3,5,40,0
ant,PXSIPPFH,2048,12,4,12,1.4,1.3,3,5,40,0
ant,B3259L3H,2048,37,4,12,1.4,1.3,3,5,40,0
ant,VHDLLPPF,2048,50,4,12,1.4,1.3,3,5,40,0
ant,MZZ8G5A7,2048,0,4,16,1.4,1.3,3,5,40,0
ant,EBN412TH,2048,12,4,16,1.4,1.3,3,5,40,0
ant,XP1LXQ4L,2048,37,4,16,1.4,1.3,3,5,40,0
ant,IQAOYL1Z,2048,50,4,16,1.4,1.3,3,5,40,0
misato,2I2WNWZ1,2048,0,4,0,1.4,1.3,3,5,40,0
misato,WW4FC4JZ,2048,12,4,0,1.4,1.3,3,5,40,0
misato,P1NGJMVK,2048,37,4,0,1.4,1.3,3,5,40,0
misato,6XKZLTMH,2048,50,4,0,1.4,1.3,3,5,40,0
misato,DRHCLRO8,2048,0,4,4,1.4,1.3,3,5,40,0
misato,Y358OZOO,2048,12,4,4,1.4,1.3,3,5,40,0
misato,JP6CIOO9,2048,37,4,4,1.4,1.3,3,5,40,0
misato,0SFBHXF8,2048,50,4,4,1.4,1.3,3,5,40,0
misato,OBSXY2TV,2048,0,4,12,1.4,1.3,3,5,40,0
misato,04HP5CDH,2048,12,4,12,1.4,1.3,3,5,40,0
misato,JZJBXWFV,2048,37,4,12,1.4,1.3,3,5,40,0
misato,JXDDMB5M,2048,50,4,12,1.4,1.3,3,5,40,0
misato,G9292WZ9,2048,0,4,16,1.4,1.3,3,5,40,0
misato,3U4NCFWT,2048,12,4,16,1.4,1.3,3,5,40,0
misato,L40WZV6L,2048,37,4,16,1.4,1.3,3,5,40,0
misato,JHFBS669,2048,50,4,16,1.4,1.3,3,5,40,0
duck,ZFF20L53,2048,0,4,0,1.4,1.3,3,5,40,0
duck,8BIO1106,2048,12,4,0,1.4,1.3,3,5,40,0
duck,ZJUS9C6S,2048,37,4,0,1.4,1.3,3,5,40,0
duck,F87WXFI7,2048,50,4,0,1.4,1.3,3,5,40,0
duck,42FN6N9S,2048,0,4,4,1.4,1.3,3,5,40,0
duck,C19IXTI1,2048,12,4,4,1.4,1.3,3,5,40,0
duck,DM8DJ4KB,2048,37,4,4,1.4,1.3,3,5,40,0
duck,CMWJBKJB,2048,50,4,4,1.4,1.3,3,5,40,0
duck,FR8BLLNI,2048,0,4,12,1.4,1.3,3,5,40,0
duck,V99QFARR,2048,12,4,12,1.4,1.3,3,5,40,0
duck,QHMJCSEC,2048,37,4,12,1.4,1.3,3,5,40,0
duck,1B90I8SV,2048,50,4,12,1.4,1.3,3,5,40,0
duck,OBU3DQ6R,2048,0,4,16,1.4,1.3,3,5,40,0
duck,DY2S7E15,2048,12,4,16,1.4,1.3,3,5,40,0
duck,5WNITK8Q,2048,37,4,16,1.4,1.3,3,5,40,0
duck,ZJYQQTAO,2048,50,4,16,1.4,1.3,3,5,40,0
