Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,Key-int-max
referee,92N39Z71,576,0,4,0,1.4,1.3,3,5,40,0
referee,N2EHFH5L,2605,0,4,0,1.4,1.3,3,5,40,0
referee,8ZG43FU8,4634,0,4,0,1.4,1.3,3,5,40,0
referee,4L5TU4MF,6663,0,4,0,1.4,1.3,3,5,40,0
referee,7C5M5WRL,8692,0,4,0,1.4,1.3,3,5,40,0
referee,XVH53SX8,10721,0,4,0,1.4,1.3,3,5,40,0
referee,D5FIPV04,12750,0,4,0,1.4,1.3,3,5,40,0
referee,9EF8ACL8,14779,0,4,0,1.4,1.3,3,5,40,0
referee,7VTNC9E4,16808,0,4,0,1.4,1.3,3,5,40,0
referee,JV8L7AFP,20000,0,4,0,1.4,1.3,3,5,40,0
referee,E6Y2JXG9,576,12,4,0,1.4,1.3,3,5,40,0
referee,IIHEFQRQ,2605,12,4,0,1.4,1.3,3,5,40,0
referee,OBT8UE19,4634,12,4,0,1.4,1.3,3,5,40,0
referee,MDQDM4ZJ,6663,12,4,0,1.4,1.3,3,5,40,0
referee,IGW37W6Y,8692,12,4,0,1.4,1.3,3,5,40,0
referee,1HZ1VNK6,10721,12,4,0,1.4,1.3,3,5,40,0
referee,CHLJG3Z0,12750,12,4,0,1.4,1.3,3,5,40,0
referee,2CVBBZ83,14779,12,4,0,1.4,1.3,3,5,40,0
referee,FZVJQDTH,16808,12,4,0,1.4,1.3,3,5,40,0
referee,HSUDJTLI,20000,12,4,0,1.4,1.3,3,5,40,0
referee,NG6VXJ4H,576,25,4,0,1.4,1.3,3,5,40,0
referee,MOP97JH8,2605,25,4,0,1.4,1.3,3,5,40,0
referee,5EZ90MF3,4634,25,4,0,1.4,1.3,3,5,40,0
referee,NGYIPTSM,6663,25,4,0,1.4,1.3,3,5,40,0
referee,FSVGV87U,8692,25,4,0,1.4,1.3,3,5,40,0
referee,IJ2K0338,10721,25,4,0,1.4,1.3,3,5,40,0
referee,FHQJ1BIC,12750,25,4,0,1.4,1.3,3,5,40,0
referee,FD8CG37B,14779,25,4,0,1.4,1.3,3,5,40,0
referee,HXB1F6DK,16808,25,4,0,1.4,1.3,3,5,40,0
referee,NLGWPMBN,20000,25,4,0,1.4,1.3,3,5,40,0
referee,XH5AI2TY,576,37,4,0,1.4,1.3,3,5,40,0
referee,Q020XTBT,2605,37,4,0,1.4,1.3,3,5,40,0
referee,T6HKJB0S,4634,37,4,0,1.4,1.3,3,5,40,0
referee,KVTJ0KJ9,6663,37,4,0,1.4,1.3,3,5,40,0
referee,AJ9HNJ4J,8692,37,4,0,1.4,1.3,3,5,40,0
referee,N5A4VG8W,10721,37,4,0,1.4,1.3,3,5,40,0
referee,5IC1FE0Q,12750,37,4,0,1.4,1.3,3,5,40,0
referee,N2P68ZN5,14779,37,4,0,1.4,1.3,3,5,40,0
referee,BO9AHCJW,16808,37,4,0,1.4,1.3,3,5,40,0
referee,F3WA0DVD,20000,37,4,0,1.4,1.3,3,5,40,0
referee,9K7N1XMY,576,50,4,0,1.4,1.3,3,5,40,0
referee,39O3V4CV,2605,50,4,0,1.4,1.3,3,5,40,0
referee,Q8VQGQHQ,4634,50,4,0,1.4,1.3,3,5,40,0
referee,G92UTJ59,6663,50,4,0,1.4,1.3,3,5,40,0
referee,YOLUAJM9,8692,50,4,0,1.4,1.3,3,5,40,0
referee,1N9LIT3N,10721,50,4,0,1.4,1.3,3,5,40,0
referee,YUZ8JV67,12750,50,4,0,1.4,1.3,3,5,40,0
referee,E3RGP65R,14779,50,4,0,1.4,1.3,3,5,40,0
referee,4KAVX07A,16808,50,4,0,1.4,1.3,3,5,40,0
referee,P5UCE16J,20000,50,4,0,1.4,1.3,3,5,40,0
ant,0JRG2HF1,576,0,4,0,1.4,1.3,3,5,40,0
ant,M54LPF28,2605,0,4,0,1.4,1.3,3,5,40,0
ant,GA0TA1PJ,4634,0,4,0,1.4,1.3,3,5,40,0
ant,DS3LPNQH,6663,0,4,0,1.4,1.3,3,5,40,0
ant,ESITJHCY,8692,0,4,0,1.4,1.3,3,5,40,0
ant,NEVD1J94,10721,0,4,0,1.4,1.3,3,5,40,0
ant,LJY4B60P,12750,0,4,0,1.4,1.3,3,5,40,0
ant,APBBW8IH,14779,0,4,0,1.4,1.3,3,5,40,0
