Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,JVMMLYMW,36.84237959925369,0.9722755005955697,1.224014369438481,74.43639752813058
referee,O84MF7EA,36.73058370151916,0.9709067502617836,1.232196460205654,74.89070293035928
referee,58Z7TSYU,36.75930334594732,0.9704192852973939,1.2299682197750967,74.9944043819331
referee,MTZCKSHT,36.46462255382636,0.9679926177859306,1.2437638050839315,75.40240884957822
referee,OHUL4P3G,37.38120303959633,0.9763664215803146,1.2115220305135233,73.71300942484757
referee,TRRTHNTE,36.56223631633269,0.9676960816979409,1.2450818270274002,75.6942722425423
referee,CCYHI0LF,36.295575936251865,0.9625017490983009,1.2709941191268577,76.77772675369135
referee,JGHCOC9R,33.864357453967635,0.898334747850895,1.4710890633965719,84.67292419320226
referee,16PIV9OX,36.72312480181113,0.968601408302784,1.221421799758434,75.53385925716867
referee,7SL8NCLJ,37.450876290806285,0.9767694222927094,1.2097681434809104,73.62952868176971
referee,KIZ6633H,36.986876579360185,0.9734564107656479,1.2192584969029996,74.187984322788
referee,UEYUU7BT,35.78812908619276,0.9521885335445404,1.3191339642823352,78.58979679104499
referee,L9RTDFJE,37.380491965766566,0.9758416971564293,1.2083866292955026,73.80121191511095
referee,AP1CYUTQ,36.460833983195705,0.9680107772350312,1.2446522210865298,75.4000005688852
referee,5ZNMD6SL,36.89007290235488,0.9707150065898895,1.2105707560963708,74.98344386035386
referee,3GUAHLDU,35.83016808427742,0.9520339268445969,1.3245733656503111,78.66646355357935
referee,VST8LY48,37.274953428802185,0.9756372007727623,1.2133796080142956,73.85927613150477
referee,J8UVUF3K,37.48354798493576,0.9754222825169563,1.1900806207133572,73.9234716661984
