Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,P20B14AK,36.403500512519685,0.9695013076066971,1.2277255146925345,75.2756991520134
referee,6U4XFU7A,35.68393053470891,0.960795805156231,1.2711870277171509,77.21587581615273
referee,C5HCL88J,37.03805788342927,0.9753583598136902,1.2039884812881607,74.14672118272497
referee,ZM08PN5O,34.70416001382105,0.946049975156784,1.3306846474294807,79.9518786327666
referee,2Y3O52I0,37.17989453140346,0.9764616221189499,1.2003340291880873,73.94635349325539
referee,MS0X3PHP,36.77300906429162,0.9731033158302307,1.212167026635732,74.49641491705495
referee,8OIK14N8,32.48431076350166,0.8811839547753334,1.5129002892815415,87.56686218408304
referee,GT72YPA4,36.767020327971885,0.9730731990933418,1.2119643120722303,74.49812789361089
referee,BXUEWWYS,37.184276625712634,0.9764724254608155,1.200330344662498,73.93204919087142
referee,5J7404HY,36.78514257921166,0.9732569196820259,1.2114148724342615,74.49126334549379
referee,13UHG2PT,36.60275506451149,0.9714897578954697,1.2179658033712624,74.81719032022865
referee,AIF3J4EN,34.70602363505916,0.9458779639005661,1.3312805001308607,79.97435591923472
referee,NAYP7BDW,36.91325177944405,0.9743173331022262,1.2074595155731067,74.31164732404302
referee,5MQAAMXN,36.402184389453126,0.9694951075315476,1.2275096108102352,75.25814588302518
referee,2FQL7U7F,36.775993927796655,0.9731569001078606,1.211661312021447,74.47506275909956
referee,D7AI7HHG,34.71320071541919,0.9460083466768264,1.32976780154109,80.04314046123316
referee,1H62Z2XL,37.029788621134315,0.9752900090813637,1.2042844961120283,74.15982450523579
referee,DJLJABUM,36.10986931490922,0.966365173459053,1.2435287780267112,75.95936642622839
referee,C0CR9J7C,36.904292663866556,0.9742539423704147,1.2075405628484306,74.31595820969298
referee,3APAO9QT,37.187263218541844,0.9765291672945022,1.200156993560821,73.92123405106629
referee,1VSP5WW3,36.770198197728476,0.9731196588277817,1.2117804380310468,74.47822955339667
referee,FK9EUSS2,36.39812750625161,0.9694633135199546,1.2275338725279812,75.26206486997971
referee,MFF3IKMW,35.674742431162464,0.9607587152719498,1.2720826413487725,77.2149087113075
referee,PIA2OLEO,36.12122358587536,0.9664016115665436,1.2425704862392193,75.95823497676895
referee,XK6DIM4K,36.40074315401215,0.9694698601961136,1.227926777577381,75.26399275872345
referee,NHWY8PL3,36.918574866833225,0.9743670445680618,1.2073418511761704,74.3129620809568
referee,ZH62ANUV,36.60624236527578,0.971555985212326,1.218583181660745,74.82886510878507
referee,5TFJV5SA,37.02811408481935,0.9752660468220711,1.204239352287811,74.16417963751266
referee,K9GY8JJI,36.612279918385006,0.9716130530834198,1.217793315342292,74.81205771150758
referee,I1A93WXQ,37.017975940379486,0.9751985621452331,1.2044344675270415,74.16617073572343
referee,NL1T386C,36.61680815781528,0.9716404423117637,1.2177325450480194,74.8466522528012
referee,NV2C7TCX,37.02951180989005,0.9752956885099411,1.2043992527844818,74.13753052622198
referee,Z9RZ92VD,34.71565753057,0.9459579965472221,1.3304458464504552,80.043355373421
referee,6WI0F067,36.40658739886242,0.9695315554738044,1.2276076872112271,75.27233640836856
referee,9AN7FQP0,35.67064688242504,0.9607830017805099,1.271774411101426,77.19506725961361
referee,Q26F4P2R,32.493359902762194,0.8810149115324021,1.5331247760599904,87.58378335840116
referee,2NHJ1H37,36.91139493084632,0.974326336979866,1.207094500574938,74.3045868265782
referee,LCI8JDI6,36.603317203433996,0.971528654396534,1.2180497343825132,74.83002816297802
referee,2VSH3XRY,32.48648810316113,0.8808512166142464,1.5306745253445178,87.60005979615579
referee,VBX40R9S,36.114951843985246,0.9663659858703614,1.2424142499772397,75.95315925656817
referee,ML3W8IF1,34.71485325669806,0.9460119017958641,1.330428820193196,79.96946982743499
referee,T5T7YDHV,36.91935057230795,0.9743698713183403,1.2074151021593613,74.3130884998908
referee,AOKRLERQ,37.18109429222129,0.9764685687422753,1.200363547559303,73.92670166996253
