Sequence,Video ID,PSNR(dB),SSIM,VIF,Compression Ratio (%)
referee,TY0V0YWC,32.29541927714347,0.8604716232419014,1.5012276963485491,87.12418732378386
referee,BXK4PT0L,34.40404662676522,0.9179331395030021,1.4458389830822633,80.6981359212132
referee,EIQQ1J27,34.722912240929176,0.9203561949729919,1.4259445666777384,82.94262192237055
referee,ZSL2BM96,40.54201632831753,0.9880472886562347,1.1777948804811664,71.63173658845233
referee,X1ZESFML,40.04306671017775,0.9856622114777565,1.182352909474667,71.85820978779634
referee,JT8PFMOL,40.106526329128876,0.9859608921408654,1.1819680201350868,71.84077029584874
referee,H708NWBU,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,7AFKCMDU,32.35620851133592,0.8606922474503517,1.5165858562294414,86.89239188731774
referee,BQLSO9OX,34.72163768369241,0.9201476293802261,1.4372255433135237,82.849204651079
referee,QHI0RCCZ,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,VG20XVAK,32.29671949150861,0.8595666480064392,1.396518900523013,85.931664877312
referee,MQUMBSK1,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,PTDNBXBE,32.29541927714347,0.8604716232419014,1.5012276963485491,87.12418732378386
referee,P81PQ6GJ,40.04306671017775,0.9856622114777565,1.182352909474667,71.85820978779634
referee,Q7E2Z76U,43.338027474013316,0.9961791121959687,1.180039218235255,72.22868679487866
referee,58IQLJTB,34.722912240929176,0.9203561949729919,1.4259445666777384,82.94262192237055
cat,7UMCCGT0,31.2061291022638,0.8928783503174782,1.3095225446848562,55.53004140536137
cat,IGMV9398,31.200650273158498,0.8925233408808708,1.3130371238309473,55.517589140360734
cat,ZW5CXDJF,37.21620957591804,0.9891474321484566,1.188218842942409,48.68251559772611
cat,ME3YZR47,29.564710574569144,0.6526204204559326,1.319310768094372,66.60321489670152
cat,XUZ40ASG,39.77315675680209,0.995869827568531,1.191416643217498,49.284168588497835
cat,EK7FIZAW,31.202592781246484,0.8928546118736267,1.3039959430269943,55.536653115610434
cat,MQMKS193,31.190245185187578,0.8926242890954018,1.296799748846141,55.458981322550635
cat,1OQ0UH38,39.77315675680209,0.995869827568531,1.191416643217498,49.284168588497835
cat,T5IBBK8K,29.563103588662116,0.6522380682826042,1.3132011508593746,66.44661344218848
cat,9JIJMU7S,39.77315675680209,0.995869827568531,1.191416643217498,49.284168588497835
cat,FSS2L9MP,37.175696255000105,0.9895779305696487,1.1880383172273594,48.55531918726532
cat,OQ2TZTXT,37.231212724201825,0.9890946239233017,1.1886142527001673,48.71025823279604
cat,QE140HIC,29.55334040037774,0.6502492967247963,1.3011175181894117,66.366040334593
cat,327MO5R2,29.565191570005858,0.6529063418507576,1.316463876328899,66.65846629181347
cat,RUSGXVZU,37.33973320996873,0.9907872459292412,1.1871895738338918,48.325306257768844
cat,O8D03WCH,39.77315675680209,0.995869827568531,1.191416643217498,49.284168588497835
american_football,AJUONFXN,31.472782933343,0.8639304715394974,1.3656016021728496,86.5154359098671
american_football,JGZ16AYG,33.40528580361347,0.9319091954827309,1.2852504022804063,79.88841000694356
american_football,Q0Y7RNPU,40.692315195143905,0.9947083568572999,1.1713644397882816,63.707115142049055
american_football,PK1CHOWP,33.870510629993966,0.9368975070118905,1.2159077975789259,80.80427093726682
american_football,WFLZR8G1,38.292851871455575,0.9824331265687942,1.1684601009201279,63.39526491561694
american_football,HVACR7PT,38.33261015091849,0.9829027074575424,1.1688114826782305,63.313219027440184
american_football,HIFIHIVP,33.872792457878276,0.9371391499042511,1.2114955340631637,81.21355223614552
american_football,DSZ08REG,31.254528720332818,0.8610097390413284,1.4511282080050842,86.11783572049153
american_football,CU40P82H,31.474213052010235,0.863709133863449,1.350956749486388,86.5101832031587
american_football,RIVA66FO,34.064746494926524,0.9363338410854339,1.227621156590866,80.76562466913794
american_football,89PY7HTP,38.299837765870436,0.9823897224664688,1.1687110158440206,63.39820415583283
american_football,LFLTBPSK,40.692315195143905,0.9947083568572999,1.1713644397882816,63.707115142049055
american_football,AVKC05JO,38.623140621354224,0.9849008345603942,1.1686193387119255,63.06503969712551
american_football,R5OLGTNK,30.607530283333176,0.8500026524066925,1.6902850974408243,86.19808013885856
american_football,5GW7319G,40.692315195143905,0.9947083568572999,1.1713644397882816,63.707115142049055
american_football,HRBBM850,40.692315195143905,0.9947083568572999,1.1713644397882816,63.707115142049055
wheel,8S08J5B8,38.255992541539484,0.9836908721923828,1.1864599765349266,63.206047376127614
wheel,9NERIIR5,31.319626241561437,0.8502675586938858,1.3749404853821938,86.16826423327075
wheel,RXJO6RDS,33.62358763181862,0.9281460908055306,1.262644169810204,79.99564486772313
wheel,161NJ3MN,32.92561909065727,0.9203530117869377,1.3437837610925738,78.08402624077813
wheel,A1SLSKZF,29.89479863511474,0.8330839845538139,1.6088901432544112,85.59800106381535
