|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| Sequence | Video ID | PSNR(dB)           | SSIM       | Cbleed             | Ringing            | VIF                |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | O2K1W1FR |  29.96513373606262 |  0.6931923 | 119.28297030472635 | 16.032815442491568 |  8.718032224693118 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | BPF1OMY6 |  29.96139203755723 |  0.6926119 | 119.37019842915058 | 16.011411109736585 |  8.731295868834486 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | 36TDAM46 | 30.035172638583163 |  0.6968889 |  92.13588503278355 |  16.29920139297918 |  8.445260661143005 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | QU7T5PWH | 34.352173576038666 | 0.95647305 |  77.83111852485257 | 14.608875449762186 | 3.9349900036291667 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | 5YEXWMVS |  32.63788788797692 | 0.90264255 |  95.82331866300248 | 17.732703884676113 |  4.256629510132515 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | IYKE2393 |   29.9505990310583 | 0.69890773 | 104.30579870708185 | 14.899948026230234 |   12.6901629038073 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | H8V7JQFC |  34.15005941352325 | 0.95547837 |  80.27717738468152 |  15.29556144767839 |   3.89135318397791 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | UWAXUM8Q |  32.82808145167818 |  0.9094686 |  98.22865206063628 |  16.85057818344167 |   4.41046392034084 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | XXV8KLPN | 32.825282271634215 |  0.9092821 |  98.20780321242935 | 16.851757255157498 |  4.413582899648589 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | YCQ7SMU7 |  34.31560413081962 |   0.959135 |  80.23336971465014 | 14.617606252916579 | 3.9416081451882823 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | RZNXMFMJ |  29.94745695203929 |  0.6930881 | 119.43764161805754 | 16.024473181014613 |  8.738464991653805 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | KQFD1M2V | 32.836209389767774 |  0.9096953 |  98.04204442918511 |  16.84821810930658 | 4.4064747739802534 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | YI8S6HDN |   34.3500722841029 |  0.9564333 |  77.81707736035295 | 14.622641386062298 | 3.9346804983516033 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | JTYVEITL |  34.35117884986373 | 0.95647687 |  77.81729588578133 | 14.616453360094509 |  3.934405695822747 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | R67E1RNT |  32.71122120769859 |  0.9019548 |  95.86693032954437 | 17.188172103527922 |  4.238132093462918 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | LI0MIBIS |  32.70723212942598 | 0.90183544 |  95.93445151149156 | 17.190618805015436 |  4.238274796073098 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | AVJYX3Q0 |  29.94797441610587 |  0.6987832 | 104.42389136853348 | 14.909685959278764 | 12.663056425442054 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | 7YCDWF2Q |  32.63693552682974 | 0.90256625 |  95.86112041067811 |  17.73086793541095 |  4.259347158278481 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | RSCXWNR0 |  34.14814962837263 | 0.95546514 |  80.31164316822523 | 15.300116933127793 | 3.8918247976768376 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | 1KC6W82J |   34.3108545974875 | 0.95905536 |  80.28993411727045 |  14.64235664875596 | 3.9417434106460627 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | OM8AL9X9 |  32.70638105199497 |  0.9017336 |  95.81284401799836 | 17.194992837279905 |  4.238928405744834 |
|----------|----------|--------------------|------------|--------------------|--------------------|--------------------|
| duck     | MSTB7KDT |  30.03696988299453 | 0.69674534 |  92.16729008194942 | 16.269111587221897 |  8.512954738457326 |
