Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,1IHBSS3O,576,21,4,0,1.4,1.3,1,5,0,31.670831731861465,0.93117953058499,100.66539720499549,16.773344878442877,67.6007388889343
ant,PSZP5D8Q,576,21,4,0,1.4,1.3,1,5,62,31.91711778563457,0.932323054887762,98.12745467900658,17.426129404027847,58.954940812608335
ant,M9W099RL,576,21,4,0,1.4,1.3,1,5,125,31.808992712481484,0.932177562025649,98.80978510466572,17.498030690269523,59.59283046655292
ant,C37LKBE5,576,21,4,0,1.4,1.3,1,5,187,31.772158917220544,0.9318646889420884,99.03463745364606,17.345326878471443,59.016919944904615
ant,HSMKGZA3,576,21,4,0,1.4,1.3,1,5,250,31.79191109807062,0.9319504887903508,99.21697658625284,17.33401798522595,59.21577202729999
ant,GCJK2WFU,576,21,4,0,1.4,1.3,4,5,0,31.659376267057183,0.9311235671612754,100.6851519805006,16.837047876690978,66.84428644129711
ant,XKGYN7RT,576,21,4,0,1.4,1.3,4,5,62,31.92569115013661,0.9323303216132358,98.39236690174704,17.369331955225643,58.87237307240427
ant,DOWY7CSU,576,21,4,0,1.4,1.3,4,5,125,31.83275583585905,0.932168937737669,99.29786737128406,17.476884924526352,58.3227104848817
ant,8MJQUKEV,576,21,4,0,1.4,1.3,4,5,187,31.822525400886693,0.932007157387425,98.8628829065514,17.3929501964695,58.19795644011148
ant,ODEGBK0L,576,21,4,0,1.4,1.3,4,5,250,31.74364608993279,0.9318256413758692,98.96456113769506,17.461263823418754,59.16351485657627
ant,MEESC4QP,576,21,4,0,1.4,1.3,8,5,0,31.644489874207693,0.931035334198036,100.6918452598601,16.83327541698423,65.99539005444142
ant,2LQXPVL8,576,21,4,0,1.4,1.3,8,5,62,31.93732616635953,0.9323715858198516,97.97439191844592,17.38478176495366,57.14965299452357
ant,M410327K,576,21,4,0,1.4,1.3,8,5,125,31.95121154933191,0.9323842154806526,99.11912238935528,17.574286077350422,56.98768478183358
ant,652Z3JMH,576,21,4,0,1.4,1.3,8,5,187,31.830257807341923,0.932080503719956,98.78579002772597,17.444252343184242,59.01372774902848
ant,L8DOZYEQ,576,21,4,0,1.4,1.3,8,5,250,31.880384389567432,0.93205317691784,99.08981344003364,17.47840635914913,58.93899742203853
ant,6GU7UY3Y,576,21,4,0,1.4,1.3,12,5,0,31.676395224767624,0.931104901418164,100.4577303382298,16.855247200461015,66.72893447028416
ant,FFWNXKR5,576,21,4,0,1.4,1.3,12,5,62,31.89311109727433,0.9322683295207236,98.22111420976718,17.30871691607605,60.181388426716246
ant,GR85TMNI,576,21,4,0,1.4,1.3,12,5,125,31.86837013716084,0.93224281309849,98.88531012712286,17.45319080827481,58.158939574341694
ant,IN16YL5W,576,21,4,0,1.4,1.3,12,5,187,31.849122196604817,0.932136436006916,99.11938237535315,17.422636773913297,57.34783341392344
ant,84R0YOVY,576,21,4,0,1.4,1.3,12,5,250,31.81352097551414,0.93186920673693,99.1207546277102,17.37570851215874,59.40623568164384
ant,NI31B8IG,576,21,4,0,1.4,1.3,16,5,0,31.669569335307997,0.9310801518497184,100.38773214487942,16.832537979437713,66.50206087316235
ant,3O6US1ZK,576,21,4,0,1.4,1.3,16,5,62,31.915287062942337,0.9323595252203112,98.1591035334996,17.438765545335762,59.32232726109471
ant,RN7O50R5,576,21,4,0,1.4,1.3,16,5,125,31.88335796976574,0.9322348219245228,98.68773789472768,17.38754444453588,58.006204186489256
ant,7IS2N27V,576,21,4,0,1.4,1.3,16,5,187,31.784974742608576,0.9320169556793289,98.89791034099372,17.51247949301615,58.760245128865456
ant,NB13D9SX,576,21,4,0,1.4,1.3,16,5,250,31.76505463619725,0.9318282909654266,98.74365770731605,17.416685376882697,59.16536426214434
ant,5K081ZQ5,576,21,4,4,1.4,1.3,1,5,0,32.87891457411629,0.9336396841267448,97.1593982813076,17.988119126505946,33.851235869584094
ant,FK8J5IJV,576,21,4,4,1.4,1.3,1,5,62,32.31598099193152,0.930877072301077,99.69848386227618,18.28352172946064,32.01718937407789
ant,W44RWAN5,576,21,4,4,1.4,1.3,1,5,125,32.3248755020937,0.9309945222157152,100.48754469238496,18.12473440974374,32.473487604220225
ant,T5X3AS9O,576,21,4,4,1.4,1.3,1,5,187,32.300162540132256,0.930706396328276,101.32038615996026,18.02062367833424,31.88032978456357
ant,8OHR0XU7,576,21,4,4,1.4,1.3,1,5,250,32.30813040105577,0.9307405981258372,101.15143729534228,18.216129445299043,31.881092132572547
ant,ANP8KO4B,576,21,4,4,1.4,1.3,4,5,0,32.880520946769046,0.9336611029520556,97.1287128713108,18.02941652791726,34.72555646744424
ant,ZYSQ73RF,576,21,4,4,1.4,1.3,4,5,62,32.32652452664537,0.9308449382805706,100.28697707570367,17.68557730281779,33.06016502376344
ant,V3NVG2NY,576,21,4,4,1.4,1.3,4,5,125,32.25432102374175,0.9313862958357702,100.33516460785388,17.719218389932507,34.35914261138431
ant,TU3OK1QV,576,21,4,4,1.4,1.3,4,5,187,32.33068065668734,0.9312343413556986,100.75735861467165,17.97296931691825,33.414519234907054
