Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF
ant,8ZGPM8KI,576,21,4,0,1.4,1.3,1,5,0,31.66729188761686,0.9311376042033902,100.60108354590862,16.843541178069422,66.616961603491
ant,6UFS7DSU,576,21,4,0,1.4,1.3,1,5,62,31.91210844545021,0.932320613766191,98.32980283046578,17.312380436926713,59.3882785720693
ant,57SPN6M4,576,21,4,0,1.4,1.3,1,5,125,31.898637485762965,0.9322925361234752,98.71339384050044,17.504759832183897,58.040770248512224
ant,RGZK7716,576,21,4,0,1.4,1.3,1,5,187,31.72099892930044,0.9318865872734222,99.0450290347548,17.42545005446553,60.53220597520764
ant,G22WWX21,576,21,4,0,1.4,1.3,1,5,250,31.830058569176277,0.9320262124882408,98.92902399413045,17.390118009865144,58.17808387671996
ant,G2ARMPHY,576,21,4,0,1.4,1.3,4,5,0,31.686010894777876,0.931216458776104,100.31859748326274,16.738547841594702,68.35328260419325
ant,Y5QPUFHQ,576,21,4,0,1.4,1.3,4,5,62,31.90701618290517,0.9322638120224228,98.1941842641057,17.36807551845316,59.04045628213453
ant,1RRDWACE,576,21,4,0,1.4,1.3,4,5,125,31.868439097991967,0.9322840242243524,98.8867820271232,17.514993851500535,57.79256718070248
ant,NDXF0ZBQ,576,21,4,0,1.4,1.3,4,5,187,31.77514953460317,0.9318831213078096,99.1528541429139,17.41255194795506,58.93469537197698
ant,GRQUKKWI,576,21,4,0,1.4,1.3,4,5,250,31.747339611307936,0.9319217679512442,99.032732819074,17.350434453831586,59.72296164010154
ant,JLDOZVFV,576,21,4,0,1.4,1.3,8,5,0,31.63800835627329,0.9310632404403308,100.47037238455675,16.77604689352847,67.3054796062359
ant,DQO4AV1O,576,21,4,0,1.4,1.3,8,5,62,31.89251524317214,0.9322578109318936,98.0904637871119,17.324587845297053,59.11410917816339
ant,Z4Q43ZOB,576,21,4,0,1.4,1.3,8,5,125,31.905210226194683,0.932266310079774,98.69852788766433,17.415016658226072,57.7167623929188
ant,VABFM70O,576,21,4,0,1.4,1.3,8,5,187,31.85167101830837,0.93202233788979,99.04671284779806,17.423856379326086,58.52964457655717
ant,JZU5FK2N,576,21,4,0,1.4,1.3,8,5,250,31.7393368108063,0.9318305805547914,99.34779072303412,17.433771029345884,59.589091844227625
ant,2ZJRLER9,576,21,4,0,1.4,1.3,12,5,0,31.630953777289747,0.9310705510538017,100.31072564693898,16.71228472346256,68.04549997363064
ant,91EEVJU9,576,21,4,0,1.4,1.3,12,5,62,31.91528209060414,0.9323433014883924,98.1920774779172,17.387176141711056,58.71913467989148
ant,A7XXW89Y,576,21,4,0,1.4,1.3,12,5,125,31.87321106158218,0.932261462235332,98.9946422305908,17.460502900361274,57.32265527701563
ant,UVZKXR4P,576,21,4,0,1.4,1.3,12,5,187,31.76907011730209,0.9319357237412562,99.06240131926212,17.348023910901965,59.17256516967615
ant,TQTAYDCQ,576,21,4,0,1.4,1.3,12,5,250,31.860179939940917,0.93203672484972,98.69406630284152,17.562950414234564,57.339030044957966
ant,DSIDCW3D,576,21,4,0,1.4,1.3,16,5,0,31.670792863987,0.9311044254706272,100.47943257765957,16.81929888163649,66.60038742329468
ant,QWY9RFIX,576,21,4,0,1.4,1.3,16,5,62,31.8990642617452,0.9322811486709176,98.03784059903992,17.382296725597637,58.61317024876347
ant,GYB4CGIZ,576,21,4,0,1.4,1.3,16,5,125,31.94962560635287,0.9324017101852456,98.70704072591316,17.365118646126284,57.51551063396749
ant,2S2AZI5N,576,21,4,0,1.4,1.3,16,5,187,31.753024900950688,0.9318682990263945,99.23496051522868,17.430651546933337,59.37698258392155
ant,Q8V3QNOX,576,21,4,0,1.4,1.3,16,5,250,31.696912014364692,0.9316814354996183,99.06153999245676,17.34969861201174,60.53169918138427
ant,K0FN3B6T,576,21,4,4,1.4,1.3,1,5,0,32.87487570235969,0.933615533570152,97.41329442438656,17.940079251752245,33.99405767244285
ant,CF6CKCDF,576,21,4,4,1.4,1.3,1,5,62,32.31598099193152,0.930877072301077,99.69848386227618,18.28352172946064,32.01718937407789
ant,CF23X18S,576,21,4,4,1.4,1.3,1,5,125,32.3248755020937,0.9309945222157152,100.48754469238496,18.12473440974374,32.473487604220225
ant,MZW3XPGS,576,21,4,4,1.4,1.3,1,5,187,32.300162540132256,0.930706396328276,101.32038615996026,18.02062367833424,31.88032978456357
ant,GISO5VDW,576,21,4,4,1.4,1.3,1,5,250,32.30813040105577,0.9307405981258372,101.15143729534228,18.216129445299043,31.881092132572547
ant,W5BN50WJ,576,21,4,4,1.4,1.3,4,5,0,32.892415690503675,0.9336533036398056,97.14015972294204,18.10292818335541,34.61238411810565
ant,FATQ3IUR,576,21,4,4,1.4,1.3,4,5,62,32.32652452664537,0.9308449382805706,100.28697707570367,17.68557730281779,33.06016502376344
ant,V846T96U,576,21,4,4,1.4,1.3,4,5,125,32.25432102374175,0.9313862958357702,100.33516460785388,17.719218389932507,34.35914261138431
ant,YNE0F7C7,576,21,4,4,1.4,1.3,4,5,187,32.33068065668734,0.9312343413556986,100.75735861467165,17.97296931691825,33.414519234907054
ant,UARXUQNK,576,21,4,4,1.4,1.3,4,5,250,32.307088106790964,0.9309351559895188,101.43638560428953,18.028702446975032,32.68268834125086
ant,WZSREGF5,576,21,4,4,1.4,1.3,8,5,0,32.889341540832746,0.9336777056627604,97.15520189849362,18.236311571369537,34.352161059995346
ant,AC6CABKW,576,21,4,4,1.4,1.3,8,5,62,32.32361722283229,0.9311692539732256,99.874549987092,17.929235045960787,33.06044775391944
ant,2XTJUFUM,576,21,4,4,1.4,1.3,8,5,125,32.20158494807083,0.9313244057531974,100.03980125054696,17.821349737267507,33.33809065614204
ant,S8G4DOZ1,576,21,4,4,1.4,1.3,8,5,187,32.31826121731651,0.9312606287832876,100.7381753822516,17.99550180883573,34.055266506449904
ant,X6KJRTU2,576,21,4,4,1.4,1.3,8,5,250,32.25081414853453,0.9311608686969056,101.5203877446774,17.973326439729025,33.68484711683892
ant,FDS1HFFO,576,21,4,4,1.4,1.3,12,5,0,32.878590013051394,0.9336742800266588,97.07649016683558,18.185689748915507,34.14834965291055
ant,64ZB8WFS,576,21,4,4,1.4,1.3,12,5,62,32.29345364975316,0.9312445702244392,99.83791596128157,17.842413616649118,34.05146719114488
ant,15FK63AK,576,21,4,4,1.4,1.3,12,5,125,32.22978296443442,0.9313756079223026,99.84371160929538,17.770775802031405,34.099966059282025
ant,P7WHV6NK,576,21,4,4,1.4,1.3,12,5,187,32.30679903881919,0.9314574652643346,100.89175976670464,17.84418398844897,35.24039900326134
ant,ZOHQWGBH,576,21,4,4,1.4,1.3,12,5,250,32.2937586741209,0.931258617348932,101.76894741425969,17.800788209634526,33.9690312797255
ant,16JV3U8Q,576,21,4,4,1.4,1.3,16,5,0,32.86584603016789,0.9337442345287076,96.94740534403594,17.918098274240602,35.01386119316543
ant,ZV1SV4BJ,576,21,4,4,1.4,1.3,16,5,62,32.25115761729882,0.9312657224598216,99.99339754257264,17.786760133877642,34.263971372939594
ant,9JTTEGCO,576,21,4,4,1.4,1.3,16,5,125,32.27983032689491,0.93176553972918,100.06545350864306,17.840069713615264,34.89884461433476
ant,4LBJBCVX,576,21,4,4,1.4,1.3,16,5,187,32.30620775301078,0.9314218379964876,101.12636159720304,17.986867714208316,34.859888641021975
ant,P11MLTU4,576,21,4,4,1.4,1.3,16,5,250,32.24270428186748,0.931374429470271,101.08350062596926,17.853137675962365,34.67168471289105
ant,MBJE9VO7,576,21,4,8,1.4,1.3,1,5,0,32.84322392160063,0.933331013911992,97.32878888735333,18.06729192753404,34.183576622820134
ant,2PIF8U1J,576,21,4,8,1.4,1.3,1,5,62,32.40683160414493,0.931258533724505,100.55262465162608,17.988744404595874,31.843461057997423
ant,C0PXOG1C,576,21,4,8,1.4,1.3,1,5,125,32.301467750020414,0.9315124604832472,101.46807421107228,18.027929469748194,32.005405514556784
ant,LZ0RGEPZ,576,21,4,8,1.4,1.3,1,5,187,32.29247423971805,0.9309720649054988,101.76797395761352,18.07716294037402,31.031425328854464
ant,D4MMDRUE,576,21,4,8,1.4,1.3,1,5,250,32.29247423971805,0.9309720649054988,101.76797395761352,18.07716294037402,31.031425328854464
ant,F9M3F87T,576,21,4,8,1.4,1.3,4,5,0,32.85910753718814,0.9334709810380318,97.54947160177132,18.07355477726685,34.03633116082503
ant,0KJZ0LMI,576,21,4,8,1.4,1.3,4,5,62,32.34792075568176,0.9311211079507324,100.5819212986956,18.021967459874386,31.25339689026764
ant,1VD4XQX3,576,21,4,8,1.4,1.3,4,5,125,32.27279113891181,0.9316439720528636,100.79569383742934,17.984426449196267,32.39292959299295
ant,Z1K9FX4U,576,21,4,8,1.4,1.3,4,5,187,32.285998156777936,0.9312197506724306,101.68627274627056,17.980395778509802,31.362443856331385
ant,XQUUYRCQ,576,21,4,8,1.4,1.3,4,5,250,32.285998156777936,0.9312197506724306,101.68627274627056,17.980395778509802,31.362443856331385
ant,GTPVNT29,576,21,4,8,1.4,1.3,8,5,0,32.84550306785274,0.9334763021611456,97.48089822516472,17.737649493299234,34.52225383610096
ant,1X0B1NBR,576,21,4,8,1.4,1.3,8,5,62,32.358254904955174,0.9316607529844216,100.5982446455512,17.863526190653154,33.0263824941588
ant,EWQCJSIL,576,21,4,8,1.4,1.3,8,5,125,32.24501051069514,0.9318179440735584,100.9889765533828,18.18695180916295,32.24969919073352
ant,4GJ4TSUO,576,21,4,8,1.4,1.3,8,5,187,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,V0L39TUC,576,21,4,8,1.4,1.3,8,5,250,32.29943265827788,0.9315161776186814,101.84988644379378,18.173148296172624,32.099182053954074
ant,U6BSOUZW,576,21,4,8,1.4,1.3,12,5,0,32.84723277061789,0.9335534477708352,96.8407088736487,17.93949056917005,34.50668119542185
ant,1BVOBJQ0,576,21,4,8,1.4,1.3,12,5,62,32.32010982125588,0.9318395992416648,100.29413671299176,17.882168068488603,32.86003616934568
ant,UI262WNF,576,21,4,8,1.4,1.3,12,5,125,32.25967992746337,0.931844231797688,101.03771061623796,17.868304113370886,32.71163041400266
ant,P947MJ68,576,21,4,8,1.4,1.3,12,5,187,32.279558710435715,0.9317406801442008,101.71189488754132,17.967043868021506,32.40704778122783
ant,CDX9WCOI,576,21,4,8,1.4,1.3,12,5,250,32.279558710435715,0.9317406801442008,101.71189488754132,17.967043868021506,32.40704778122783
ant,SH72ZCJ4,576,21,4,8,1.4,1.3,16,5,0,32.8474328932964,0.9336097620019864,96.9055221169423,18.21344177244525,34.243925230042336
ant,FB0JUFVL,576,21,4,8,1.4,1.3,16,5,62,32.30332957970795,0.931835482962689,100.02072282659807,18.14997071242985,32.51238499206896
ant,PAR8BMHN,576,21,4,8,1.4,1.3,16,5,125,32.24489252042936,0.9320091504362684,100.78480612706149,17.982998824273565,32.932203187349934
ant,GTV6YEFB,576,21,4,8,1.4,1.3,16,5,187,32.188390638739044,0.9317809242514236,101.76467760181536,17.983005647360862,32.90235707813172
ant,4ODG6ABL,576,21,4,8,1.4,1.3,16,5,250,32.188390638739044,0.9317809242514236,101.76467760181536,17.983005647360862,32.90235707813172
ant,WYM47D38,576,21,4,12,1.4,1.3,1,5,0,32.868407501072184,0.9334704769191458,97.30756857350976,18.189678199853663,34.304743256923125
ant,22KBXPJE,576,21,4,12,1.4,1.3,1,5,62,32.363926479775195,0.9311877800457512,101.21165030245186,18.02977398434729,30.97256896650275
ant,752FWGDB,576,21,4,12,1.4,1.3,1,5,125,32.35477503956081,0.9316411765653696,100.20423473393072,18.04676904478768,32.14277851483934
ant,RM33HLY0,576,21,4,12,1.4,1.3,1,5,187,32.261252538065634,0.9312379303856276,99.34008673237786,17.974743250837506,31.6564956403102
ant,SMMSQMN9,576,21,4,12,1.4,1.3,1,5,250,32.261252538065634,0.9312379303856276,99.34008673237786,17.974743250837506,31.6564956403102
ant,Y5V5T111,576,21,4,12,1.4,1.3,4,5,0,32.86981092881087,0.9335143708471042,97.31380159388247,18.05441129732341,34.736486066270295
ant,B6A1NVO6,576,21,4,12,1.4,1.3,4,5,62,32.37945026193272,0.9315033027188696,100.96655281055176,17.954322277913395,31.442365068681244
ant,T4G8XGK5,576,21,4,12,1.4,1.3,4,5,125,32.30560440781979,0.9315482108154108,99.67345654659758,18.002783166469655,31.865771383688138
ant,DSCNQ6SG,576,21,4,12,1.4,1.3,4,5,187,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,9PHNXEQT,576,21,4,12,1.4,1.3,4,5,250,32.2473158862177,0.9316431260227565,99.2804132645031,17.9541257403409,32.52512355243483
ant,PJ91LPUU,576,21,4,12,1.4,1.3,8,5,0,32.85124574967654,0.9336545247936724,96.88137542419082,17.959095331917624,35.074359847224535
ant,MZX5XZMC,576,21,4,12,1.4,1.3,8,5,62,32.36143843714886,0.9313173139866312,100.54496126859912,18.012141138469868,30.475553462747666
ant,NYY3DTEE,576,21,4,12,1.4,1.3,8,5,125,32.2955069994003,0.9315693491133884,99.77726276147234,18.01187108125249,31.88373093004424
ant,LAZLTHYU,576,21,4,12,1.4,1.3,8,5,187,32.27880348922345,0.9315612197515384,99.47135728571648,18.04207626363513,31.63429159603195
ant,GS8QOVCK,576,21,4,12,1.4,1.3,8,5,250,32.27876060140399,0.9315603330953798,99.46962702042453,18.048043825323703,31.63567929740657
ant,XH8N2GB9,576,21,4,12,1.4,1.3,12,5,0,32.86912041840997,0.9335798707174424,97.15167266124048,18.21386091106185,34.56592252049873
ant,B7JCL7OE,576,21,4,12,1.4,1.3,12,5,62,32.308713120530705,0.9319054721599788,101.00650637389823,17.866003894746868,32.15114610718208
ant,A9IPF2H0,576,21,4,12,1.4,1.3,12,5,125,32.305480173613454,0.9317582907961376,99.67007599324944,17.871959113178427,32.226504902805694
ant,FG0U12VB,576,21,4,12,1.4,1.3,12,5,187,32.27050488803973,0.9319521752162953,98.94276232408563,18.09659029715142,33.04214725080623
ant,7V08WXC7,576,21,4,12,1.4,1.3,12,5,250,32.2706462949113,0.9319508852650276,98.9431173103426,18.06017720779032,33.033699009500864
ant,D65P3BDY,576,21,4,12,1.4,1.3,16,5,0,32.8687204067888,0.9335497359731304,96.99374979726169,18.09273337733698,34.623946122388084
ant,E6EYFSG9,576,21,4,12,1.4,1.3,16,5,62,32.332907383074286,0.9319416581101678,100.4027655583002,17.921584231332854,32.024905269640044
ant,6WER0M1W,576,21,4,12,1.4,1.3,16,5,125,32.25165674226915,0.931581075215221,100.22922167111012,17.907951998520364,31.76153348389885
ant,751TUNID,576,21,4,12,1.4,1.3,16,5,187,32.27194117272294,0.9318429264263134,98.65407978193524,18.02995751152436,32.42714308110523
ant,TE0RQTZR,576,21,4,12,1.4,1.3,16,5,250,32.27194117272294,0.9318429264263134,98.65407978193524,18.02995751152436,32.42714308110523
ant,EAV4X3U9,576,21,4,16,1.4,1.3,1,5,0,32.86073232631295,0.9334303837510484,97.30528605165718,18.089314938538188,34.32467398745115
ant,0DZYOGJN,576,21,4,16,1.4,1.3,1,5,62,32.35495099610937,0.9312262855358978,100.06815447262146,18.095670221052853,30.191227841220517
ant,RSQ1PBFK,576,21,4,16,1.4,1.3,1,5,125,32.30305374786401,0.9311911884825028,100.98556856679184,18.07715293279985,30.202821479574016
ant,IZN5MNV9,576,21,4,16,1.4,1.3,1,5,187,32.340556103165355,0.9313894557715648,99.21124627153584,18.01667051654529,31.10315891771522
ant,QTFBHRQ8,576,21,4,16,1.4,1.3,1,5,250,32.340556103165355,0.9313894557715648,99.21124627153584,18.01667051654529,31.10315891771522
ant,1N0S5QGS,576,21,4,16,1.4,1.3,4,5,0,32.87221183691605,0.9335500562368934,97.0792496789778,17.863014456035728,35.21702602006726
ant,ACVKLDBL,576,21,4,16,1.4,1.3,4,5,62,32.361177206804705,0.931410761021856,99.46214684438527,17.994518265019785,30.96636649220925
ant,A6N5LGQ8,576,21,4,16,1.4,1.3,4,5,125,32.3189885651835,0.9315247755145551,100.3896663288496,17.922945272544734,31.337414053335085
ant,3T05KKGZ,576,21,4,16,1.4,1.3,4,5,187,32.286819086773065,0.931474672324622,99.363613067715,18.120107350806364,31.82250868059719
ant,189B1JXC,576,21,4,16,1.4,1.3,4,5,250,32.28879045022609,0.9314916018229812,99.33901520200882,18.133375373962284,31.816366452911083
ant,I2ZWSA2P,576,21,4,16,1.4,1.3,8,5,0,32.86449241970492,0.9335331205111832,97.07698036030314,18.02990470607969,34.703154912854096
ant,OLO0JDWN,576,21,4,16,1.4,1.3,8,5,62,32.34108536316596,0.9315864452675208,99.54219082178804,18.155041847855117,31.24872979222558
ant,AVCWDEH3,576,21,4,16,1.4,1.3,8,5,125,32.28583416238575,0.9317079841794066,100.16218625957788,17.97121585388953,31.67950081048386
ant,ZUICV2Z4,576,21,4,16,1.4,1.3,8,5,187,32.25636208051312,0.9314202707798328,99.4799428566081,17.992521867363653,31.52514118689569
ant,LFBH3F6D,576,21,4,16,1.4,1.3,8,5,250,32.25490122798647,0.9314105581881394,99.48236640989684,17.999942448379166,31.537346781065644
ant,5PX2IG6W,576,21,4,16,1.4,1.3,12,5,0,32.8676734982164,0.933568752820219,97.02548896384214,18.005002723345743,34.85898125962709
ant,3CCNMGA4,576,21,4,16,1.4,1.3,12,5,62,32.334980188888096,0.9320701873717616,98.9942302233048,17.73056262510089,32.85181026182896
ant,ETDKTBOH,576,21,4,16,1.4,1.3,12,5,125,32.308906550674465,0.931827236467333,100.1163493825241,18.16186922414664,31.868641851912347
ant,XND2UIN4,576,21,4,16,1.4,1.3,12,5,187,32.2599139971595,0.9315551765522554,99.40647383621057,17.996611582635285,31.179826113031325
ant,1NV11OPK,576,21,4,16,1.4,1.3,12,5,250,32.2599139971595,0.9315551765522554,99.40647383621057,17.996611582635285,31.179826113031325
ant,LLZS4YT9,576,21,4,16,1.4,1.3,16,5,0,32.86031605798433,0.9336327839253554,96.79904943118127,18.06480444178685,34.762814115708814
