Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead,PSNR(dB),SSIM,Cbleed,Ringing,VIF,Compression Ratio (%)
referee,B46QRM2Y,576,21,4,0,1.4,0.0,1,5,40,32.97400285185707,0.8933938544988632,93.17755371214312,21.84611667750444,6.783051544314978,86.55550439100365
referee,3XO56VL2,576,21,4,0,1.4,0.5,1,5,40,32.96012978566748,0.8931094658374786,92.30263229769491,21.812979415162477,6.818419006195208,86.54316590304363
referee,7R0MSEX5,576,21,4,0,1.4,1.0,1,5,40,32.98010822934336,0.8933975937962532,93.35366547670718,21.81615108327442,6.821314227509359,86.52068861657548
referee,SOBOMID5,576,21,4,0,1.4,1.5,1,5,40,32.98413245537603,0.8932075849175454,93.12149273003462,21.802584257914056,6.793077499146871,86.50746519607735
referee,ETOE5MK2,576,21,4,0,1.4,2.0,1,5,40,32.97519601816889,0.89338264554739,92.669646852093,21.827724916235237,6.793328141031401,86.4986980430033
referee,BRH7XT4N,576,21,4,0,1.4,0.0,4,5,40,33.00690696186354,0.8933502250909805,92.67771838710458,21.767387849406624,6.782473569128701,86.39840990264793
referee,8BHZFTQC,576,21,4,0,1.4,0.5,4,5,40,33.0010754384551,0.893230311870575,93.54726839795526,21.746758135315453,6.790520877128889,86.43747335325908
referee,87Q8LEYS,576,21,4,0,1.4,1.0,4,5,40,33.01005762058958,0.8933621153235436,93.41772681809418,21.784860592992803,6.760643173068696,86.37925111319772
referee,Q2L32GJ7,576,21,4,0,1.4,1.5,4,5,40,32.99797300455686,0.8934910717606545,92.23157524836034,21.74407518277749,6.782020797693825,86.443073712036
referee,8QM43MQU,576,21,4,0,1.4,2.0,4,5,40,32.984378460987124,0.8932407245039939,92.59630475139856,21.727953794039227,6.801999326460548,86.38619151267524
referee,WA8C68RH,576,21,4,0,1.4,0.0,8,5,40,32.9959779246132,0.8933932879567146,92.93630097415124,21.75049267637064,6.7885555208428805,86.40491415680309
referee,UC1OWJVE,576,21,4,0,1.4,0.5,8,5,40,32.98854978076075,0.893398674428463,92.36462895929786,21.770182008327406,6.7981323213912335,86.41904147267945
referee,4CVPAA57,576,21,4,0,1.4,1.0,8,5,40,32.98844242045815,0.8935982489585876,92.33579321228775,21.743574095209148,6.776616650047694,86.41900986794595
referee,CX9CC87D,576,21,4,0,1.4,1.5,8,5,40,32.98631235815272,0.8935222494602203,92.7953348946278,21.786438854640373,6.788558561395182,86.42453437536246
referee,GS7L8545,576,21,4,0,1.4,2.0,8,5,40,32.99511316013811,0.8934405791759491,92.3791176396122,21.75331617209556,6.782231271487089,86.43344691021063
referee,186VMTJP,576,21,4,0,1.4,0.0,12,5,40,32.99426651937508,0.893672356903553,92.2084546838831,21.726294049214875,6.78596613810476,86.43364918050507
referee,A0XHFMTH,576,21,4,0,1.4,0.5,12,5,40,33.006602022028545,0.8937423041462899,92.56361392626344,21.758133670178346,6.781926795322715,86.47485543204776
referee,RWNYBEJB,576,21,4,0,1.4,1.0,12,5,40,33.01837040908483,0.8936643400788307,92.70851857036072,21.7953610684692,6.774735486127856,86.36206445911817
referee,PCNGTSOB,576,21,4,0,1.4,1.5,12,5,40,33.00248105457396,0.8936150833964348,92.49833404224528,21.74075525730011,6.782447228039684,86.41011629593788
referee,PAPCP3RH,576,21,4,0,1.4,2.0,12,5,40,32.98843083470415,0.8934680399298668,93.21511277970671,21.773090640872656,6.766977616232651,86.40596343395542
referee,VE83V2BS,576,21,4,0,1.4,0.0,16,5,40,33.01355722868538,0.8935699918866158,92.96132094063468,21.78761389225899,6.798533526965951,86.48402080476396
referee,QN4K83H8,576,21,4,0,1.4,0.5,16,5,40,33.00508100395812,0.893490819633007,92.99437218243628,21.735220196484583,6.805392367753874,86.4551909668615
referee,XPNCG689,576,21,4,0,1.4,1.0,16,5,40,33.0008072441252,0.8937150022387504,92.23526868007336,21.76609280943255,6.7766657454603925,86.42289725016695
referee,ACL6LG2C,576,21,4,0,1.4,1.5,16,5,40,33.00338819470564,0.8936177110671997,92.51472917510618,21.786644177465053,6.757684887493711,86.46096199119935
referee,Y331UYU9,576,21,4,0,1.4,2.0,16,5,40,32.996479259865026,0.893496965765953,92.50979876060964,21.7877643385874,6.767942828575837,86.42175947976081
referee,0Y387MDG,576,21,4,4,1.4,0.0,1,5,40,34.36984055972563,0.9017718091607094,88.24588233386383,21.628590793969387,6.497132356032003,86.85526896734378
referee,BPI9R3DJ,576,21,4,4,1.4,0.5,1,5,40,34.36657133779234,0.901690427660942,88.21556238667051,21.60575273840225,6.491504854587501,86.8516344229908
referee,UF8KXGTD,576,21,4,4,1.4,1.0,1,5,40,34.36958969738597,0.9015999320149422,87.58756831235527,21.64295459047967,6.487977300229636,86.84307586115789
referee,WD5OVWG7,576,21,4,4,1.4,1.5,1,5,40,34.36479054645111,0.9015511214733124,87.90314592134453,21.665507563014994,6.495965223835035,86.87890930800486
referee,7QD7LTJD,576,21,4,4,1.4,2.0,1,5,40,34.37315299279597,0.901859984099865,88.05758193962193,21.63990330715374,6.483288653042767,86.86210823167407
referee,X71U69XR,576,21,4,4,1.4,0.0,4,5,40,34.36095993249544,0.9009083259105682,87.36393729383683,21.44987401480453,6.699254055848986,86.81138263439992
referee,BDL5SQXU,576,21,4,4,1.4,0.5,4,5,40,34.35584671637305,0.9008147984743118,87.3730809063946,21.429574834245464,6.691816917265393,86.79278640920607
referee,CDW8R134,576,21,4,4,1.4,1.0,4,5,40,34.35630465094065,0.9006771686673164,88.35555628978584,21.46365943489172,6.693404765753362,86.75781893205709
referee,0237I9R1,576,21,4,4,1.4,1.5,4,5,40,34.36377650026822,0.9008645623922348,88.1934023208429,21.42822386823312,6.679997571516034,86.85400477800363
referee,WTLE7RW4,576,21,4,4,1.4,2.0,4,5,40,34.36356235080392,0.9006975996494293,87.41506515842013,21.481924388938687,6.684436129205133,86.8630753365193
