Sequence,Video ID,Bitrate,Quantizer,QP Step,B-Frames,IP Factor,PB Factor,Ref Number,Subme,RC Lookahead
ant,1IHBSS3O,576,21,4,0,1.4,1.3,1,5,0
ant,PSZP5D8Q,576,21,4,0,1.4,1.3,1,5,62
ant,M9W099RL,576,21,4,0,1.4,1.3,1,5,125
ant,C37LKBE5,576,21,4,0,1.4,1.3,1,5,187
ant,HSMKGZA3,576,21,4,0,1.4,1.3,1,5,250
ant,GCJK2WFU,576,21,4,0,1.4,1.3,4,5,0
ant,XKGYN7RT,576,21,4,0,1.4,1.3,4,5,62
ant,DOWY7CSU,576,21,4,0,1.4,1.3,4,5,125
ant,8MJQUKEV,576,21,4,0,1.4,1.3,4,5,187
ant,ODEGBK0L,576,21,4,0,1.4,1.3,4,5,250
ant,MEESC4QP,576,21,4,0,1.4,1.3,8,5,0
ant,2LQXPVL8,576,21,4,0,1.4,1.3,8,5,62
ant,M410327K,576,21,4,0,1.4,1.3,8,5,125
ant,652Z3JMH,576,21,4,0,1.4,1.3,8,5,187
ant,L8DOZYEQ,576,21,4,0,1.4,1.3,8,5,250
ant,6GU7UY3Y,576,21,4,0,1.4,1.3,12,5,0
ant,FFWNXKR5,576,21,4,0,1.4,1.3,12,5,62
ant,GR85TMNI,576,21,4,0,1.4,1.3,12,5,125
ant,IN16YL5W,576,21,4,0,1.4,1.3,12,5,187
ant,84R0YOVY,576,21,4,0,1.4,1.3,12,5,250
ant,NI31B8IG,576,21,4,0,1.4,1.3,16,5,0
ant,3O6US1ZK,576,21,4,0,1.4,1.3,16,5,62
ant,RN7O50R5,576,21,4,0,1.4,1.3,16,5,125
ant,7IS2N27V,576,21,4,0,1.4,1.3,16,5,187
ant,NB13D9SX,576,21,4,0,1.4,1.3,16,5,250
ant,5K081ZQ5,576,21,4,4,1.4,1.3,1,5,0
ant,FK8J5IJV,576,21,4,4,1.4,1.3,1,5,62
ant,W44RWAN5,576,21,4,4,1.4,1.3,1,5,125
ant,T5X3AS9O,576,21,4,4,1.4,1.3,1,5,187
ant,8OHR0XU7,576,21,4,4,1.4,1.3,1,5,250
ant,ANP8KO4B,576,21,4,4,1.4,1.3,4,5,0
ant,ZYSQ73RF,576,21,4,4,1.4,1.3,4,5,62
ant,V3NVG2NY,576,21,4,4,1.4,1.3,4,5,125
ant,TU3OK1QV,576,21,4,4,1.4,1.3,4,5,187
ant,KE5QV678,576,21,4,4,1.4,1.3,4,5,250
ant,JVY5QYDO,576,21,4,4,1.4,1.3,8,5,0
ant,S48VWYZS,576,21,4,4,1.4,1.3,8,5,62
ant,C9I42E01,576,21,4,4,1.4,1.3,8,5,125
ant,EC1DUD9R,576,21,4,4,1.4,1.3,8,5,187
ant,6UBWWTLP,576,21,4,4,1.4,1.3,8,5,250
ant,1A9V9KIM,576,21,4,4,1.4,1.3,12,5,0
ant,8QLU8LWG,576,21,4,4,1.4,1.3,12,5,62
ant,7B6B32GM,576,21,4,4,1.4,1.3,12,5,125
ant,6YKUCCNW,576,21,4,4,1.4,1.3,12,5,187
ant,ZICRE7NS,576,21,4,4,1.4,1.3,12,5,250
ant,0SXCX6IH,576,21,4,4,1.4,1.3,16,5,0
ant,XCK74M8D,576,21,4,4,1.4,1.3,16,5,62
ant,81PLDYG3,576,21,4,4,1.4,1.3,16,5,125
ant,60RBDGRJ,576,21,4,4,1.4,1.3,16,5,187
ant,O05PK6TV,576,21,4,4,1.4,1.3,16,5,250
ant,U55B27G8,576,21,4,8,1.4,1.3,1,5,0
ant,XPAWSQWK,576,21,4,8,1.4,1.3,1,5,62
ant,S08L6WQ9,576,21,4,8,1.4,1.3,1,5,125
ant,6JJIR39T,576,21,4,8,1.4,1.3,1,5,187
ant,FA1996IL,576,21,4,8,1.4,1.3,1,5,250
ant,P218JU37,576,21,4,8,1.4,1.3,4,5,0
ant,W6HPQX1P,576,21,4,8,1.4,1.3,4,5,62
ant,FPWBFKDI,576,21,4,8,1.4,1.3,4,5,125
ant,8F1ET2F4,576,21,4,8,1.4,1.3,4,5,187
ant,F6BQ6MPZ,576,21,4,8,1.4,1.3,4,5,250
ant,HHYD0G5Y,576,21,4,8,1.4,1.3,8,5,0
ant,AFQK8R9L,576,21,4,8,1.4,1.3,8,5,62
ant,TFX3SD6H,576,21,4,8,1.4,1.3,8,5,125
ant,ZU8WAQEM,576,21,4,8,1.4,1.3,8,5,187
ant,MG3ABK0V,576,21,4,8,1.4,1.3,8,5,250
ant,YFKN3077,576,21,4,8,1.4,1.3,12,5,0
ant,85N71XLW,576,21,4,8,1.4,1.3,12,5,62
ant,6VN8C5MF,576,21,4,8,1.4,1.3,12,5,125
ant,TT1YPMSX,576,21,4,8,1.4,1.3,12,5,187
ant,W6VUV8AT,576,21,4,8,1.4,1.3,12,5,250
