|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| Sequence | Video ID | Bitrate | Quantizer | QP Step | B-Frames | IP Factor | PB Factor | Ref Number | Subme | RC Lookahead |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | EANCREJO |     576 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | AVJYX3Q0 |     576 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | BPF1OMY6 |     576 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | 36TDAM46 |     576 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | EHCVOOBA |     576 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | O2K1W1FR |     576 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | MSTB7KDT |     576 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | IYKE2393 |     576 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | RZNXMFMJ |     576 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | 7YCDWF2Q |    4992 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | XXV8KLPN |    4992 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | R67E1RNT |    4992 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | 5YEXWMVS |    4992 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | KQFD1M2V |    4992 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | LI0MIBIS |    4992 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | BXMK2BV4 |    4992 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | UWAXUM8Q |    4992 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | OM8AL9X9 |    4992 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | RSCXWNR0 |   20000 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | DG7WSNW0 |   20000 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | QU7T5PWH |   20000 |         0 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | V2R4QH2C |   20000 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | YCQ7SMU7 |   20000 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | YI8S6HDN |   20000 |        25 |       4 |        0 |       1.4 |       1.3 |          3 |    10 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | H8V7JQFC |   20000 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |     1 |           40 |
|----------|----------|---------|-----------|---------|----------|-----------|-----------|------------|-------|--------------|
| duck     | 1KC6W82J |   20000 |        50 |       4 |        0 |       1.4 |       1.3 |          3 |     3 |           40 |
